Protein ID,Rate Constant
EG11373-MONOMER,1.925408834888737e-05
EG11378-MONOMER,1.925408834888737e-05
EG11381-MONOMER,1.925408834888737e-05
EG11388-MONOMER,1.925408834888737e-05
EG11389-MONOMER,1.925408834888737e-05
EG11395-MONOMER,1.925408834888737e-05
EG11398-MONOMER,1.925408834888737e-05
EG11399-MONOMER,1.925408834888737e-05
EG11400-MONOMER,1.925408834888737e-05
EG11401-MONOMER,1.925408834888737e-05
EG11414-MONOMER,1.925408834888737e-05
EG11422-MONOMER,1.925408834888737e-05
EG11424-MONOMER,1.925408834888737e-05
EG11425-MONOMER,1.925408834888737e-05
EG11426-MONOMER,1.925408834888737e-05
EG11429-MONOMER,1.925408834888737e-05
EG11431-MONOMER,1.925408834888737e-05
EG11432-MONOMER,1.925408834888737e-05
EG11445-MONOMER,1.925408834888737e-05
EG11450-MONOMER,1.925408834888737e-05
EG11462-MONOMER,1.925408834888737e-05
EG11464-MONOMER,1.925408834888737e-05
EG11465-MONOMER,1.925408834888737e-05
EG11466-MONOMER,1.925408834888737e-05
EG11471-MONOMER,1.925408834888737e-05
EG11479-MONOMER,1.925408834888737e-05
EG11481-MONOMER,1.925408834888737e-05
EG11484-MONOMER,1.925408834888737e-05
EG11486-MONOMER,1.925408834888737e-05
EG11489-MONOMER,1.925408834888737e-05
EG11495-MONOMER,1.925408834888737e-05
EG11498-MONOMER,1.925408834888737e-05
EG11499-MONOMER,1.925408834888737e-05
EG11500-MONOMER,1.925408834888737e-05
EG11505-MONOMER,1.925408834888737e-05
EG11508-MONOMER,1.925408834888737e-05
EG11509-MONOMER,1.925408834888737e-05
EG11512-MONOMER,1.925408834888737e-05
EG11514-MONOMER,1.925408834888737e-05
EG11515-MONOMER,1.925408834888737e-05
EG11519-MONOMER,1.925408834888737e-05
EG11520-MONOMER,1.925408834888737e-05
EG11521-MONOMER,1.925408834888737e-05
EG11522-MONOMER,1.925408834888737e-05
EG11523-MONOMER,1.925408834888737e-05
EG11524-MONOMER,1.925408834888737e-05
EG11525-MONOMER,1.925408834888737e-05
EG11526-MONOMER,1.925408834888737e-05
EG11533-MONOMER,1.925408834888737e-05
EG11535-MONOMER,1.925408834888737e-05
EG11538-MONOMER,1.925408834888737e-05
EG11544-MONOMER,1.925408834888737e-05
EG11547-MONOMER,1.925408834888737e-05
EG11548-MONOMER,1.925408834888737e-05
EG11551-MONOMER,1.925408834888737e-05
EG11552-MONOMER,1.925408834888737e-05
EG11562-MONOMER,1.925408834888737e-05
EG11563-MONOMER,1.925408834888737e-05
EG11564-MONOMER,1.925408834888737e-05
EG11565-MONOMER,1.925408834888737e-05
EG11568-MONOMER,1.925408834888737e-05
EG11571-MONOMER,1.925408834888737e-05
EG11579-MONOMER,1.925408834888737e-05
EG11591-MONOMER,1.925408834888737e-05
EG11592-MONOMER,1.925408834888737e-05
EG11594-MONOMER,1.925408834888737e-05
EG11599-MONOMER,1.925408834888737e-05
EG11601-MONOMER,1.925408834888737e-05
EG11604-MONOMER,1.925408834888737e-05
EG11605-MONOMER,1.925408834888737e-05
EG11607-MONOMER,1.925408834888737e-05
EG11634-MONOMER,1.925408834888737e-05
EG11635-MONOMER,1.925408834888737e-05
EG11637-MONOMER,1.925408834888737e-05
EG11639-MONOMER,1.925408834888737e-05
EG11643-MONOMER,1.925408834888737e-05
EG11645-MONOMER,1.925408834888737e-05
EG11646-MONOMER,1.925408834888737e-05
EG11651-MONOMER,1.925408834888737e-05
EG11653-MONOMER,1.925408834888737e-05
EG11661-MONOMER,1.925408834888737e-05
EG11664-MONOMER,1.925408834888737e-05
EG11665-MONOMER,1.925408834888737e-05
EG11671-MONOMER,1.925408834888737e-05
EG11674-MONOMER,1.925408834888737e-05
EG11678-MONOMER,1.925408834888737e-05
EG11683-MONOMER,1.925408834888737e-05
EG11688-MONOMER,1.925408834888737e-05
EG11691-MONOMER,1.925408834888737e-05
EG11692-MONOMER,1.925408834888737e-05
EG11694-MONOMER,1.925408834888737e-05
EG11695-MONOMER,1.925408834888737e-05
EG11696-MONOMER,1.925408834888737e-05
EG11697-MONOMER,1.925408834888737e-05
EG11705-MONOMER,1.925408834888737e-05
EG11707-MONOMER,1.925408834888737e-05
EG11711-MONOMER,1.925408834888737e-05
EG11714-MONOMER,1.925408834888737e-05
EG11719-MONOMER,1.925408834888737e-05
EG11721-MONOMER,1.925408834888737e-05
EG11723-MONOMER,1.925408834888737e-05
EG11725-MONOMER,1.925408834888737e-05
EG11726-MONOMER,1.925408834888737e-05
EG11727-MONOMER,1.925408834888737e-05
EG11728-MONOMER,1.925408834888737e-05
EG11729-MONOMER,1.925408834888737e-05
EG11733-MONOMER,1.925408834888737e-05
EG11734-MONOMER,1.925408834888737e-05
EG11735-MONOMER,1.925408834888737e-05
EG11739-MONOMER,1.925408834888737e-05
EG11741-MONOMER,1.925408834888737e-05
