# Generated by models/ecoli/analysis/cohort/kcat_estimations.py on wildtype simulations: 64 seed(s), 8 generation(s) used (gens 4-11, first 4 skipped), 505 total cells. Generated 2026-03-31 14:44:52.
"reaction_id"	"catalyst_id"	"kcat_estimate"	"buffered"
"RXN-9772"	"L-ASPARTATE-OXID-MONOMER[c]"	1415.3859235282737	false
"PSERTRANSAM-RXN"	"PSERTRANSAM-CPLX[c]"	4.252656293371364	false
"PSERTRANSAM-RXN (reverse)"	"PSERTRANSAM-CPLX[c]"	431.8546041694604	false
"PSERTRANSAMPYR-RXN"	"PSERTRANSAM-CPLX[c]"	0.9004134871289613	true
"PSERTRANSAMPYR-RXN (reverse)"	"PSERTRANSAM-CPLX[c]"	0.9747988666400201	false
"FGAMSYN-RXN"	"FGAMSYN-MONOMER[c]"	1415.9250511966077	false
"GAPOXNPHOSPHN-RXN"	"GAPDH-A-CPLX[c]"	1500.559546969128	false
"GAPOXNPHOSPHN-RXN (reverse)"	"GAPDH-A-CPLX[c]"	0.0	false
"GLURS-RXN-GLT-tRNAs/GLT/ATP/PROTON//Charged-GLT-tRNAs/AMP/PPI.52."	"GLURS-MONOMER[c]"	4.249444528469321	false
"PYRROLINECARBREDUCT-RXN-PRO/NAD//L-DELTA1-PYRROLINE_5-CARBOXYLATE/NADH/PROTON.54. (reverse)"	"PYRROLINECARBREDUCT-CPLX[c]"	15656.486251541774	false
"PYRROLINECARBREDUCT-RXN-PRO/NADP//L-DELTA1-PYRROLINE_5-CARBOXYLATE/NADPH/PROTON.56. (reverse)"	"PYRROLINECARBREDUCT-CPLX[c]"	7273.972676140776	false
"RXN0-5114[CCO-CYTOSOL]-3-P-SERINE/WATER//SER/Pi.38."	"PSERPHOSPHA-MONOMER[c]"	1653.399112019672	false
"ADENYLYLSULFKIN-RXN"	"ADENYLYLSULFKIN-CPLX[c]"	533.7098939036541	false
"DIAMINOPIMDECARB-RXN"	"DIAMINOPIMDECARB-CPLX[c]"	3784.36930397118	false
"THI-P-KIN-RXN"	"THI-P-KIN-MONOMER[c]"	14.086347509442604	false
"PANTEPADENYLYLTRAN-RXN"	"COADTRI-CPLX[c]"	8347.884397187021	false
"METBALT-RXN"	"O-SUCCHOMOSERLYASE-CPLX[c]"	24.823283795572365	true
"O-SUCCHOMOSERLYASE-RXN"	"O-SUCCHOMOSERLYASE-CPLX[c]"	7406.119709979249	false
"O-SUCCHOMOSERLYASE-RXN (reverse)"	"O-SUCCHOMOSERLYASE-CPLX[c]"	1524.45738861603	false
"RXN-15147"	"O-SUCCHOMOSERLYASE-CPLX[c]"	404570.641224038	false
"PREPHENATEDEHYDROG-RXN"	"CHORISMUTPREPHENDEHYDROG-CPLX[c]"	1292.9368940311947	false
"CHORISMATEMUT-RXN__CHORISMUTPREPHENDEHYDROG-CPLX"	"CHORISMUTPREPHENDEHYDROG-CPLX[c]"	625.2486559940633	false
"PREPHENATEDEHYDRAT-RXN"	"CHORISMUTPREPHENDEHYDRAT-CPLX[c]"	148.60161491890088	false
"CHORISMATEMUT-RXN__CHORISMUTPREPHENDEHYDRAT-CPLX"	"CHORISMUTPREPHENDEHYDRAT-CPLX[c]"	218.51512056011353	false
"THYMIDYLATESYN-RXN-METHYLENE-THF/DUMP//TMP/DIHYDROFOLATE.38."	"THYMIDYLATESYN-CPLX[c]"	196.02236045835897	false
"PMPOXI-RXN"	"PDXH-CPLX[c]"	31.893413310393367	false
"PNPOXI-RXN"	"PDXH-CPLX[c]"	8.288733921776531	false
"PDXJ-RXN"	"CPLX0-321[c]"	8.773761601453328	false
"KDOTRANS-RXN"	"KDOTRANS-MONOMER[m]"	4175.95847551903	false
"KDOTRANS2-RXN"	"KDOTRANS-MONOMER[m]"	4175.95847551903	false
"RXN0-5127"	"EG11423-MONOMER[c]"	15432.118170358039	false
"UDPACYLGLCNACDEACETYL-RXN"	"UDPACYLGLCNACDEACETYL-MONOMER[c]"	2666.7850403088023	false
"PRPPSYN-RXN"	"CPLX0-8299[c]"	3207.430536433108	false
"PRPPSYN-RXN-CPD-15318/ATP//PRPP/AMP/PROTON.31."	"CPLX0-8299[c]"	3953.323054627806	false
"PRPPSYN-RXN-CPD-15895/ATP//PRPP/AMP/PROTON.31."	"CPLX0-8299[c]"	2598.5117384693476	false
"PRPPSYN-RXN-CPD-16551/ATP//PRPP/AMP/PROTON.31."	"CPLX0-8299[c]"	2611.8921142302715	false
"IMP-DEHYDROG-RXN"	"IMP-DEHYDROG-CPLX[c]"	386.8671759113053	false
"3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN"	"CPLX0-301[c]"	54.86903241215626	false
"2.7.1.148-RXN"	"CPLX0-3841[c]"	725571.331117823	false
"GSAAMINOTRANS-RXN"	"GSAAMINOTRANS-CPLX[c]"	35.31061835715133	false
"QUINOPRIBOTRANS-RXN (reverse)"	"QUINOPRIBOTRANS-CPLX[c]"	83.90361859846602	false
"H2PTERIDINEPYROPHOSPHOKIN-RXN"	"H2PTERIDINEPYROPHOSPHOKIN-MONOMER[c]"	15.0292570826878	false
"INORGPYROPHOSPHAT-RXN[CCO-CYTOSOL]-PPI/WATER//Pi/PROTON.34."	"CPLX0-243[c]"	8678.175766495027	false
"TRIPHOSPHATASE-RXN[CCO-CYTOSOL]-P3I/WATER//PPI/Pi/PROTON.38.__CPLX0-243"	"CPLX0-243[c]"	79.46865080841224	false
"2.7.3.9-RXN"	"CPLX0-7938[c]"	4184.286446050455	false
"RXN-17354"	"CPLX0-7938[c]"	1641.0842332793231	false
"RXN-17355"	"CPLX0-7938[c]"	1641.0842332793231	false
"RIBOFLAVIN-SYN-RXN"	"CPLX0-3952[c]"	4.175747391773427	false
"PANTOATE-BETA-ALANINE-LIG-RXN"	"PANTOATE-BETA-ALANINE-LIG-CPLX[c]"	26.02626882707665	false
"OROTPDECARB-RXN"	"OROTPDECARB-CPLX[c]"	8262.127339830846	false
"RXN0-5055"	"ACETYL-COA-CARBOXYLTRANSFER-CPLX[c]"	24930.565595605163	false
"UDPNACETYLGLUCOSAMACYLTRANS-RXN"	"UDPNACETYLGLUCOSAMACYLTRANS-CPLX[c]"	120.29007931398588	false
"P-PANTOCYSDECARB-RXN"	"CPLX0-341[c]"	1205.8937915284532	false
"P-PANTOCYSLIG-RXN"	"CPLX0-341[c]"	1158.907608981259	false
"RXN-22914"	"CPLX0-341[c]"	1205.8937915284532	false
"RXN-22915"	"CPLX0-341[c]"	1205.8937915284532	false
"RXN-8992"	"CPLX0-7426[c]"	6.282185372627264	false
"SULFATE-ADENYLYLTRANS-RXN"	"SULFATE-ADENYLYLTRANS-CPLX[c]"	900.3997375305433	false
"RIBOFLAVINSYNDEAM-RXN"	"CPLX0-7659[c]"	45.33551641544647	false
"RIBOFLAVINSYNREDUC-RXN (reverse)"	"CPLX0-7659[c]"	45.33551641544647	false
"RXN-8999"	"UPPSYN-CPLX[c]"	20036.540487726135	false
"RXN-12587"	"CPLX0-248[c]"	0.08676996132351636	false
"RXN-12587 (reverse)"	"CPLX0-248[c]"	0.4340616190956837	false
"RXN-12588"	"CPLX0-248[c]"	0.5308513139132289	false
"RXN-14382"	"CPLX0-248[c]"	0.4340616190956837	false
"RXN-14382 (reverse)"	"CPLX0-248[c]"	0.08675562770576357	false
"RXN-22700"	"CPLX0-248[c]"	0.0	false
"RXN-9787"	"CPLX0-248[c]"	0.47603684566218435	false
"RXN0-308"	"CPLX0-248[c]"	0.47757372113861485	false
"GLUTKIN-RXN"	"GLUTKIN-CPLX[c]"	2335.1019430722613	false
"DTMPKI-RXN"	"CPLX0-8260[c]"	164.4201653065884	false
"ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN (reverse)"	"ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX[c]"	444.2792869556568	false
"GLUTRACE-RXN"	"GLUTRACE-MONOMER[c]"	16476.79366242252	false
"GLUTRACE-RXN (reverse)"	"GLUTRACE-MONOMER[c]"	326.111536189829	true
"NICONUCADENYLYLTRAN-RXN"	"NICONUCADENYLYLTRAN-MONOMER[c]"	591.0924318890338	false
