# Generated by models/ecoli/analysis/cohort/kcat_estimates_v2_to_tsv.py from kcat_estimates_v2_with_estimators_summary.csv (source: 20260302.164308__wildtype_minimal_media) on 2026-05-21 18:58:57. Column: kcat_gap_estimate. 389 reaction-catalyst pairs with finite positive estimates (skipped 76 blank/NaN).
"reaction_id"	"catalyst_id"	"kcat_estimate"
"RXN0-6491-DI-H-OROTATE/UBIQUINONE-8//OROTATE/CPD-9956.44."	"DIHYDROOROTOX-MONOMER[c]"	4094.07
"RXN0-6554-DI-H-OROTATE/CPD-9728//OROTATE/REDUCED-MENAQUINONE.51."	"DIHYDROOROTOX-MONOMER[c]"	3091.21
"CPM-KDOSYNTH-RXN"	"CPM-KDOSYNTH-MONOMER[c]"	4408.97
"MALONYL-COA-ACP-TRANSACYL-RXN"	"MALONYL-COA-ACP-TRANSACYL-MONOMER[c]"	231874.0
"RXN0-743"	"PURE-CPLX[c]"	84586.0
"PHOSPHASERSYN-RXN-CPD-12814/SER//CMP/CPD-12816/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	7.37543e-13
"PHOSPHASERSYN-RXN-CPD-12815/SER//CMP/CPD-12817/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	82290.3
"PHOSPHASERSYN-RXN-CPD-18355/SER//CMP/CPD-18366/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	2.57627e-12
"PHOSPHASERSYN-RXN-CPD-18356/SER//CMP/CPD-18365/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	5.60329e-12
"PHOSPHASERSYN-RXN-CPD-18357/SER//CMP/CPD-18364/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	2.07957e-12
"PHOSPHASERSYN-RXN-CPD-18358/SER//CMP/CPD-18363/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	7.43098e-13
"PHOSPHASERSYN-RXN-CPD-18387/SER//CMP/CPD-18402/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	3.42809e-13
"PHOSPHASERSYN-RXN-CPD-18388/SER//CMP/CPD-18401/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	1.0024e-13
"PYRROLINECARBREDUCT-RXN-PRO/NAD//L-DELTA1-PYRROLINE_5-CARBOXYLATE/NADH/PROTON.54. (reverse)"	"PYRROLINECARBREDUCT-CPLX[c]"	34811.8
"ISOCITDEH-RXN"	"ISOCITHASE-CPLX[c]"	1002.46
"RXN-8642"	"ISOCITHASE-CPLX[c]"	4326.25
"RXN-8642 (reverse)"	"ISOCITHASE-CPLX[c]"	1700.77
"RXN-9951"	"ISOCITHASE-CPLX[c]"	4326.25
"RXN-9951 (reverse)"	"ISOCITHASE-CPLX[c]"	1700.77
"FADSYN-RXN"	"RIBF-MONOMER[c]"	466.931
"RIBOFLAVINKIN-RXN"	"RIBF-MONOMER[c]"	637.798
"2.8.1.6-RXN"	"BIOTIN-SYN-CPLX[c]"	37.8611
"GTP-CYCLOHYDRO-I-RXN"	"FOLE-CPLX[c]"	114.805
"DTMPKI-RXN"	"CPLX0-8260[c]"	2964.69
"HOLO-ACP-SYNTH-RXN__HOLO-ACP-SYNTH-CPLX"	"HOLO-ACP-SYNTH-CPLX[c]"	11.0907
"GLUTRNAREDUCT-RXN (reverse)"	"CPLX0-3741[c]"	619029.0
"DXPREDISOM-RXN"	"DXPREDISOM-CPLX[i]"	359.159
"MALONYL-ACPDECARBOX-RXN"	"FABB-CPLX[c]"	5.96939
"RXN-10654"	"FABB-CPLX[c]"	3.35449e-12
"RXN-10658"	"FABB-CPLX[c]"	3.35449e-12
"RXN0-2141"	"FABB-CPLX[c]"	3.35449e-12
"RXN-9535__FABB-CPLX"	"FABB-CPLX[c]"	1.04976
"QUINOPRIBOTRANS-RXN (reverse)"	"QUINOPRIBOTRANS-CPLX[c]"	2479.1
