,Protein ID,Gene names ,UniProt id,UniProt gene name,Monomer ID
1968,sp|P63284-2|CLPB_ECOLI,,P63284-2,CLPB_ECOLI,
1969,sp|P63284|CLPB_ECOLI,clpB,P63284,CLPB_ECOLI,EG10157-MONOMER
1970,sp|P63386|MLAF_ECOLI,mlaF,P63386,MLAF_ECOLI,YRBF-MONOMER
1971,sp|P63389|YHES_ECOLI,yheS,P63389,YHES_ECOLI,YHES-MONOMER
1972,sp|P63417|YHBS_ECOLI,yhbS,P63417,YHBS_ECOLI,G7650-MONOMER
1973,sp|P63883|AMIC_ECOLI,amiC,P63883,AMIC_ECOLI,G7458-MONOMER
1974,sp|P64423|ZNTB_ECOLI,zntB,P64423,ZNTB_ECOLI,G6674-MONOMER
1975,sp|P64426|YDDW_ECOLI,yddW,P64426,YDDW_ECOLI,G6785-MONOMER
1976,sp|P64429|YPFJ_ECOLI,ypfJ,P64429,YPFJ_ECOLI,G7298-MONOMER
1977,sp|P64432|YPJD_ECOLI,ypjD,P64432,YPJD_ECOLI,G7355-MONOMER
1978,sp|P64435|YBCW_ECOLI,ybcW,P64435,YBCW_ECOLI,G6314-MONOMER
1979,sp|P64448|YNBE_ECOLI,ynbE,P64448,YNBE_ECOLI,G6704-MONOMER
1980,sp|P64451|YDCL_ECOLI,ydcL,P64451,YDCL_ECOLI,G6742-MONOMER
1981,sp|P64463|YDFZ_ECOLI,ydfZ,P64463,YDFZ_ECOLI,G6815-MONOMER
1982,sp|P64467|CNU_ECOLI,cnu,P64467,CNU_ECOLI,G6869-MONOMER
1983,sp|P64479|YDIZ_ECOLI,ydiZ,P64479,YDIZ_ECOLI,G6929-MONOMER
1984,sp|P64483|YEAK_ECOLI,yeaK,P64483,YEAK_ECOLI,G6973-MONOMER
1985,sp|P64490|YOAC_ECOLI,yoaC,P64490,YOAC_ECOLI,G6994-MONOMER
1986,sp|P64499|YEBO_ECOLI,yebO,P64499,YEBO_ECOLI,G7001-MONOMER
1987,sp|P64506|YEBY_ECOLI,yebY,P64506,YEBY_ECOLI,G7012-MONOMER
1988,sp|P64515|YECN_ECOLI,yecN,P64515,YECN_ECOLI,G7019-MONOMER
1989,sp|P64530|RCNR_ECOLI,rcnR,P64530,RCNR_ECOLI,G7137-MONOMER
1990,sp|P64534|RCNB_ECOLI,rcnB,P64534,RCNB_ECOLI,G7139-MONOMER
1991,sp|P64540|YFCL_ECOLI,yfcL,P64540,YFCL_ECOLI,G7200-MONOMER
1992,sp|P64545|YFGG_ECOLI,yfgG,P64545,YFGG_ECOLI,G7315-MONOMER
1993,sp|P64548|YFIR_ECOLI,yfiR,P64548,YFIR_ECOLI,G7354-MONOMER
1994,sp|P64554|QUEE_ECOLI,queE,P64554,QUEE_ECOLI,G7443-MONOMER
1995,sp|P64578|HIGB_ECOLI,higB,P64578,HIGB_ECOLI,G7602-MONOMER
1996,sp|P64581|YQJD_ECOLI,yqjD,P64581,YQJD_ECOLI,G7612-MONOMER
1997,sp|P64585|YQJE_ECOLI,yqjE,P64585,YQJE_ECOLI,G7613-MONOMER
1998,sp|P64588|YQJI_ECOLI,yqjI,P64588,YQJI_ECOLI,G7594-MONOMER
1999,sp|P64594|YHAV_ECOLI,yhaV,P64594,YHAV_ECOLI,G7629-MONOMER
2000,sp|P64596|YRAP_ECOLI,yraP,P64596,YRAP_ECOLI,G7644-MONOMER
2001,sp|P64599|YHBT_ECOLI,yhbT,P64599,YHBT_ECOLI,G7651-MONOMER
2002,sp|P64602|MLAB_ECOLI,mlaB,P64602,MLAB_ECOLI,G7658-MONOMER
2003,sp|P64604|MLAD_ECOLI,mlaD,P64604,MLAD_ECOLI,EG12799-MONOMER
2004,sp|P64606|MLAE_ECOLI,mlaE,P64606,MLAE_ECOLI,YRBE-MONOMER
2005,sp|P64610|YRBL_ECOLI,yrbL,P64610,YRBL_ECOLI,G7667-MONOMER
2006,sp|P64612|ZAPE_ECOLI,zapE,P64612,ZAPE_ECOLI,G7680-MONOMER
2007,sp|P64616|YHCO_ECOLI,yhcO,P64616,YHCO_ECOLI,G7684-MONOMER
2008,sp|P64624|YHEO_ECOLI,yheO,P64624,YHEO_ECOLI,G7715-MONOMER
2009,sp|P64636|YRFG_ECOLI,yrfG,P64636,YRFG_ECOLI,G7742-MONOMER
2010,sp|P65290|YFGH_ECOLI,yfgH,P65290,YFGH_ECOLI,G7316-MONOMER
2011,sp|P65292|YGDI_ECOLI,ygdI,P65292,YGDI_ECOLI,G7453-MONOMER
2012,sp|P65294|YGDR_ECOLI,ygdR,P65294,YGDR_ECOLI,G7461-MONOMER
