"transcription_units"	"monomers_to_remove"
["EG10221", "EG10219", "EG10220", "EG10222"]	["EG10221", "EG10219", "EG10220", "EG10222"]
["EG11311", "EG10317"]	["EG11311", "EG10317"]
["EG10330", "EG10331", "EG10332", "EG10333"]	["EG10330", "EG10331", "EG10332", "EG10333"]
["EG10383", "EG10387", "EG10385"]	["EG10387", "EG10385"]
["EG10391", "EG10392", "EG10393"]	["EG10391", "EG10392", "EG10393"]
["EG11275", "EG10494", "EG10502"]	["EG10494", "EG10502"]
["G0-10439", "EG10513", "EG10514", "EG10515"]	["G0-10439", "EG10513", "EG10514", "EG10515"]
["EG10533", "EG11491"]	["EG10533", "EG11491"]
["EG10560", "EG10561"]	["EG10560"]
["EG10633", "EG10632", "EG10636", "EG10634"]	["EG10633"]
["EG10653", "EG10655", "EG10654", "EG10188"]	["EG10653", "EG10655", "EG10654"]
["EG10660", "EG10661", "EG12360"]	["EG10660", "EG10661"]
["EG10727", "EG11401"]	["EG10727"]
["EG11345", "EG11314"]	["EG11345", "EG11314"]
["EG10795", "EG10792"]	["EG10795", "EG10792"]
["EG10798", "EG10799"]	["EG10798", "EG10799"]
["EG11274", "EG11028", "EG11027", "EG11026", "EG11025", "EG11024"]	["EG11028", "EG11027", "EG11026", "EG11025", "EG11024"]
["EG10191", "EG10190", "EG10189"]	["EG10191", "EG10190"]
["EG10793", "EG10796"]	["EG10793", "EG10796"]
["EG11276", "EG11005", "EG11006"]	["EG11005", "EG11006"]
["EG11380", "EG11379", "G0-10588", "EG10049"]	["EG11380", "EG11379", "G0-10588"]
["EG10178", "EG10179", "EG10180", "EG10181", "EG10182"]	["EG10178", "EG10179", "EG10180", "EG10181", "EG10182"]
["EG10979", "EG10980", "EG10981", "EG10982"]	["EG10979", "EG10980", "EG10981", "EG10982"]
["EG10134", "EG10135"]	["EG10134"]
["EG11669", "EG11670", "EG11671", "EG11672"]	["EG11669", "EG11670", "EG11671", "EG11672"]
["EG10111", "EG10110", "EG10109"]	["EG10111", "EG10110", "EG10109"]
["EG10118", "EG10121", "EG10119", "EG10120"]	["EG10118", "EG10121", "EG10119", "EG10120"]
["EG10379", "EG10377", "EG10380"]	["EG10379", "EG10377", "EG10380"]
["EG10989", "EG10990", "EG10991", "EG11172", "G7627", "G7626", "G7624"]	["EG10989", "EG10990", "EG10991", "EG11172", "G7627", "G7626", "G7624"]
["EG10352", "EG10349", "EG10350", "EG10355", "EG10353"]	["EG10352", "EG10349", "EG10350"]
["EG10563", "EG10564"]	["EG10563"]
["G8210", "EG10969", "EG10970", "EG10971", "EG10972", "EG10974", "EG10973"]	["G8210", "EG10969", "EG10970", "EG10971", "EG10972", "EG10973"]
["EG10348", "EG10351"]	["EG10348"]
["EG10176", "EG10175", "EG10177"]	["EG10176", "EG10175", "EG10177"]
["EG10195", "EG10197", "EG10198", "EG10183", "EG10193"]	["EG10195", "EG10197", "EG10198", "EG10183", "EG10193"]
["EG10186", "EG10194", "EG10185"]	["EG10186", "EG10194", "EG10185"]
["EG10250", "EG10249"]	["EG10250"]
