TUs	TU_Genes	Gene_Names
yaaX	yaaX	yaaX
katE	katE	katE
ymgE	ymgE	ymgE
yjgD	rraB	rraB
yfaY	yfaY	yfaY
fucAO	fucO // fucA	fucO // fucA
yhiS	yhiS	yhiS
leuU	leuU	leuU
mreBCD	mreD // mreC // mreB	mreD // mreC // mreB
ryhB	ryhB	ryhB
rrsG-gltW-rrlG-rrfG	rrfG // rrlG // gltW // rrsG	rrfG // rrlG // gltW // rrsG
pyrG-eno	eno // pyrG	eno // pyrG
ycgZ	ycgZ	ycgZ
yidX	yidX	yidX
pdeN	pdeN	pdeN
crp	crp	crp
yhhQ	yhhQ	yhhQ
ileX	ileX	ileX
mnmA	mnmA	mnmA
copA	copA	copA
dsbA	dsbA	dsbA
tisB	tisB	tisB
ymfA // ycfZ	ymfA // ycfZ	ymfA // ycfZ
yhhM	yhhM	yhhM
mdtQ	mdtQ	mdtQ
sucABCD	sucA // sucB // sucC // sucD	sucA // sucB // sucC // sucD
hofQ	hofQ	hofQ
rcsA	rcsA	rcsA
ligT	thpR	thpR
gyrB	gyrB	gyrB
gspAB	gspB // gspA	gspB // gspA
mutY-yggX-mltC	mltC // yggX // mutY	mltC // yggX // mutY
yceJI	yceJ // yceI	yceJ // yceI
ybhQ	ybhQ	ybhQ
yehD // yehC // yehB // yehA	yehD // yehC // yehB // yehA	yehD // yehC // yehB // yehA
phoE	phoE	phoE
yhdV	yhdV	yhdV
glgCAP	glgP // glgA // glgC	glgP // glgA // glgC
yqgB	yqgB	yqgB
mhpABCDFE	mhpF // mhpE // mhpD // mhpC // mhpB // mhpA	mhpF // mhpE // mhpD // mhpC // mhpB // mhpA
yejO	yejO	yejO
mutM	mutM	mutM
gnsA // ymcE	gnsA // ymcE	gnsA // ymcE
yaiT	yaiT	yaiT
wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	wcaC // wcaD // wcaE // wcaF // gmd // fcl // gmm // wcaI // cpsB // cpsG // wcaJ // wzxC	wcaC // wcaD // wcaE // wcaF // gmd // fcl // gmm // wcaI // cpsB // cpsG // wcaJ // wzxC
uvrB	uvrB	uvrB
yhcC	yhcC	yhcC
endA	endA	endA
ygdD	ygdD	ygdD
gabDTP	gabP // gabT // gabD	gabP // gabT // gabD
ycaC	ycaC	ycaC
pdxB-usg-truA-dedA	dedA // truA // usg // pdxB	dedA // truA // usg // pdxB
elfA	elfA	elfA
ushA	ushA	ushA
yeeP	yeeP	yeeP
hflD-purB	purB // hflD	purB // hflD
yraQ	yraQ	yraQ
rpsU-dnaG-rpoD	rpsU // dnaG // rpoD	rpsU // dnaG // rpoD
yrbG-kdsD	kdsD // yrbG	kdsD // yrbG
fxsA	fxsA	fxsA
lon	lon	lon
aat	aat	aat
sraG	sraG	sraG
yedS	yedS	yedS
malEFG	malG // malF // malE	malG // malF // malE
ygjR	ygjR	ygjR
dnaKJ	tpke11 // dnaK // dnaJ	tpke11 // dnaK // dnaJ
thrS-infC-rpmI-rplT-pheMST-ihfA	ihfA // pheT // pheS // pheM // rplT // rpmI // infC // thrS	ihfA // pheT // pheS // pheM // rplT // rpmI // infC // thrS
