Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
TU00110	EG10135 // EG10134	[carAB 29,651 &rarr; 34,038]	4388	+
TU00109	EG10135 // EG10134	[carAB 29,651 &rarr; 34,038]	4388	+
TU0-6884	EG10135	[carB 30,817 &rarr; 34,038]	3222	+
TU0-13726	EG12634	[cas3 2,884,553 &larr; 2,887,219]	2667	-
TU0-13725	G7425 // G7430 // G7426 // G7429 // EG12845 // G7428 // G7427	[casABCDE12 2,878,569 &larr; 2,884,138]	5570	-
TU0-14558	G7425 // G7426 // EG12845 // G7427	[casDE-ygbTF 2,878,569 &larr; 2,881,048]	2480	-
TU0-1342	G7071	[cbl 2,059,964 &larr; 2,060,914]	951	-
TU0-42533	EG12193 // EG12194	[cbpA-cbpM 1,062,550 &larr; 1,063,775]	1226	-
TU0-42532	EG12193 // EG12194	[cbpA-cbpM 1,062,550 &larr; 1,063,775]	1226	-
TU0-36443	EG12193 // EG12194	[cbpAM 1,062,550 &larr; 1,063,775]	1226	-
TU00387	EG12193 // EG12194	[cbpAM 1,062,550 &larr; 1,063,775]	1226	-
TU0-8599	EG11714	[cbrA 3,869,377 &rarr; 3,870,441]	1065	+
TU0-42468	EG11714	[cbrA 3,869,377 &rarr; 3,870,441]	1065	+
TU0-14026	EG11726	[TU0-14026 3,897,506 &rarr; 3,897,973]	468	+
TU0-36404	EG11727 // EG11726	[cbrBC 3,897,506 &rarr; 3,898,609]	1104	+
TU0-14027	EG11727	[TU0-14027 3,898,022 &rarr; 3,898,609]	588	+
TU0-5261	EG12059 // EG12054 // EG12058 // EG12053 // EG12057 // EG12052 // EG12055 // EG12169	[ccmABCDEFGH 2,291,358 &larr; 2,297,644]	6287	-
TU0-4501	EG12335	[cdaR 182,463 &rarr; 183,620]	1158	+
TU841	EG10137	[cdd 2,231,844 &rarr; 2,232,728]	885	+
TU0-13401	G6971	[TU0-13401 1,870,385 &rarr; 1,871,860]	1476	+
