Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
TU0-14516	G6447	[ybjN 892,957 &rarr; 893,433]	477	+
TU0-13072	G6449 // G6448	[TU0-13072 897,989 &rarr; 899,645]	1657	+
TU0-8201	G6450	[ybjP 903,952 &larr; 904,467]	516	-
TU0-13073	G6451 // G6452	[ybjQ-amiD 904,593 &rarr; 905,743]	1151	+
TU0-13074	G6453	[TU0-13074 905,740 &larr; 906,753]	1014	-
TU0-8513	G6460	[ybjX 918,128 &larr; 919,120]	993	-
TU-8382	EG11241	[ycaC 944,931 &larr; 945,557]	627	-
TU0-13081	EG11242	[TU0-13081 945,871 &rarr; 947,019]	1149	+
TU0-13087	G6471 // EG12375 // EG10613 // EG11409	[TU0-13087 964,320 &rarr; 970,621]	6302	+
TU0-8673	EG12702	[ycaK 949,668 &rarr; 950,258]	591	+
TU0-13086	G6470	[TU0-13086 960,264 &rarr; 961,028]	765	+
TU0-13082	G6466	[TU0-13082 947,229 &rarr; 948,659]	1431	+
TU0-8674	G6467	[ycaN 948,660 &larr; 949,568]	909	-
TU0-13084	G6468	[TU0-13084 954,872 &larr; 956,632]	1761	-
TU0-13085	G6469	[TU0-13085 956,762 &rarr; 957,454]	693	+
TU0-13088	EG10519 // G6472	[ycaR-kdsB 970,673 &rarr; 971,598]	926	+
TU0-8676	EG12166	[ycbC 972,622 &larr; 973,401]	780	-
TU0-13089	G6473	[ycbJ 971,752 &rarr; 972,645]	894	+
TU0-8678	G6487	[ycbX 1,006,491 &larr; 1,007,600]	1110	-
TU0-13098	G6493	[TU0-13098 1,016,539 &larr; 1,018,299]	1761	-
TU0-13105	EG11113	[yccA 1,030,759 &larr; 1,031,418]	660	-
TU0-13113	EG12196	[yccE 1,064,036 &rarr; 1,065,292]	1257	+
TU0-13099	G6496 // G6495	[yccFS 1,021,730 &larr; 1,024,348]	2619	-
TU0-13111	G6513	[TU0-13111 1,052,289 &larr; 1,053,362]	1074	-
TU0-8679	G6494	[yccR 1,021,138 &rarr; 1,021,767]	630	+
TU0-13101	G6498	[yccT 1,027,111 &larr; 1,027,773]	663	-
TU0-8680	G6499	[yccU 1,027,946 &rarr; 1,028,359]	414	+
TU0-8681	G6502	[yccX 1,030,064 &rarr; 1,030,342]	279	+
TU0-8682	G6532	[ycdT 1,092,876 &rarr; 1,094,234]	1359	+
TU0-13120	G6540 // G6541	[TU0-13120 1,098,879 &rarr; 1,100,194]	1316	+
TU0-13121	G6542	[ycdZ 1,100,296 &rarr; 1,100,787]	492	+
TU0-921	EG11116	[yceA 1,116,807 &rarr; 1,117,859]	1053	+
TU0-13129	EG11117	[TU0-13129 1,122,713 &larr; 1,123,273]	561	-
TU601	EG10890 // EG11119	[yceD-rpmF 1,146,794 &rarr; 1,147,540]	747	+
TU602	EG10890 // EG11119	[yceD-rpmF 1,146,794 &rarr; 1,147,540]	747	+
TU0-8683	EG11438	[yceF 1,146,011 &larr; 1,146,595]	585	-
TU0-14349	EG11537	[yceH 1,126,157 &rarr; 1,126,804]	648	+
TU0-41656	EG11820	[TU0-41656 1,117,901 &larr; 1,118,476]	576	-
TU0-13126	EG11820 // G6554	[yceJI 1,117,901 &larr; 1,119,046]	1146	-
TU0-13124	EG12689	[TU0-13124 1,113,579 &rarr; 1,113,806]	228	+
TU0-13133	G6563	[TU0-13133 1,144,502 &rarr; 1,144,822]	321	+
TU0-13137	EG12444	[TU0-13137 1,167,599 &rarr; 1,168,138]	540	+
TU0-8684	G6569	[ycfQ 1,168,200 &larr; 1,168,832]	633	-
TU0-8685	G6570	[ycfR 1,169,073 &rarr; 1,169,330]	258	+
TU0-13140	G6572	[TU0-13140 1,174,092 &larr; 1,175,165]	1074	-
TU0-8686	EG11516	[ycgB 1,235,709 &larr; 1,237,241]	1533	-
TU0-13165	G6609	[TU0-13165 1,219,601 &rarr; 1,222,248]	2648	+
TU0-13168	G0-10444	[TU0-13168 1,223,564 &rarr; 1,223,907]	344	+
TU0-8687	G6614	[ycgJ 1,226,600 &rarr; 1,226,968]	369	+
TU0-13169	G6616	[ycgL 1,227,681 &rarr; 1,228,007]	327	+
TU0-13170	G6617	[TU0-13170 1,228,079 &rarr; 1,228,738]	660	+
TU0-13171	G6618	[TU0-13171 1,228,815 &rarr; 1,229,276]	462	+
TU0-1548	G6623	[ycgR 1,243,793 &larr; 1,244,527]	735	-
TU0-13178	G6629	[TU0-13178 1,253,085 &larr; 1,255,952]	2868	-
TU0-13157	G6601	[TU0-13157 1,212,703 &larr; 1,213,107]	405	-
TU0-13177	G6625	[TU0-13177 1,245,160 &rarr; 1,245,600]	441	+
TU0-13160	G6604	[TU0-13160 1,215,789 &rarr; 1,216,025]	237	+
TU0-14762	G6606 // G6605 // G6604 // G6607	[ycgZ-ymgA-ariR-ymgC 1,215,789 &rarr; 1,216,996]	1208	+
TU0-13185	EG11342	[TU0-13185 1,298,598 &rarr; 1,299,245]	648	+
TU0-1782	EG11404	[ychF 1,256,721 &larr; 1,257,812]	1092	-
TU0-8689	EG11533	[ychH 1,258,791 &rarr; 1,259,069]	279	+
TU0-13183	EG12119	[ychJ 1,288,674 &larr; 1,289,132]	459	-
TU0-8690	EG12404	[ychN 1,273,246 &larr; 1,273,599]	354	-
TU0-8691	EG12405	[ychO 1,273,784 &rarr; 1,275,178]	1395	+
TU305	EG11251 // G6630 // EG10518	[ychQA-kdsA 1,266,924 &rarr; 1,269,019]	2096	+
TU0-13180	G6631	[TU0-13180 1,286,709 &rarr; 1,286,984]	276	+
TU0-13189	EG11121	[TU0-13189 1,311,848 &larr; 1,312,246]	399	-
TU0-13190	EG11123 // EG11122	[yciCB 1,312,351 &larr; 1,313,663]	1313	-
TU0-36411	EG11125	[yciE 1,314,718 &larr; 1,315,224]	507	-
TU0-36408	EG11127	[yciG 1,315,856 &larr; 1,316,035]	180	-
TU0-13193	EG11126 // EG11125 // EG11127	[yciGFE 1,314,718 &larr; 1,316,035]	1318	-
TU0-13188	EG11607	[yciI 1,310,569 &larr; 1,310,865]	297	-
TU0-13196	EG11759 // EG10130	[TU0-13196 1,327,767 &larr; 1,329,112]	1346	-
TU0-8692	EG12868	[yciN 1,330,417 &larr; 1,330,668]	252	-
TU0-14472	G6637 // EG12691 // EG11128 // EG10809	[yciSM-pyrF-yciH 1,340,243 &rarr; 1,342,984]	2742	+
TU0-42448	G6638	[yciT 1,343,597 &larr; 1,344,346]	750	-
TU0-13194	G6634 // G6636 // G6635	[yciVOQ 1,323,220 &rarr; 1,326,641]	3422	+
TU0-13203	G6640	[yciW 1,348,980 &larr; 1,350,107]	1128	-
TU0-14244	G0-8891	[TU0-14244 1,308,788 &rarr; 1,308,961]	174	+
TU0-8475	G6638 // G0-10591	[yciZT 1,343,597 &larr; 1,344,609]	1013	-
TU0-13205	G6641	[TU0-13205 1,351,407 &larr; 1,351,760]	354	-
TU0-8693	G6661	[ycjG 1,388,930 &rarr; 1,389,895]	966	+
TU0-13212	G6655 // G6652 // G6651 // G6657 // G0-10445 // G6656 // G6650 // G6649 // G6648 // G6654 // G6647 // G6653	[TU0-13212 1,370,216 &rarr; 1,382,852]	12637	+
TU0-8695	G6658	[ycjW 1,382,963 &larr; 1,383,961]	999	-
TU0-13214	G6659 // EG12870	[TU0-13214 1,384,117 &rarr; 1,386,572]	2456	+
TU0-14473	EG11042 // G6659 // EG12870	[ycjXF-tyrR 1,384,117 &rarr; 1,388,261]	4145	+
TU0-13216	G6663	[ycjY 1,390,933 &larr; 1,391,853]	921	-
TU0-42524	G6662 // G0-10446 // G6663 // G0-10645	[ycjY-ymjDC-mpaA 1,389,870 &larr; 1,391,853]	1984	-
TU0-13229	G0-10448 // G6679	[TU0-13229 1,419,156 &larr; 1,419,456]	301	-
TU0-8696	G6672	[ydaL 1,405,979 &rarr; 1,406,542]	564	+
TU0-8697	G6673	[ydaM 1,406,563 &larr; 1,407,795]	1233	-
TU0-13231	G6685 // G6681 // G6684 // G6683 // G6682 // G6686	[TU0-13231 1,420,365 &rarr; 1,423,644]	3280	+
TU0-13244	G6722	[TU0-13244 NIL &rarr; NIL]		+
TU0-13249	EG11310	[ydbD 1,475,144 &rarr; 1,477,450]	2307	+
TU0-13242	G6705 // G6703 // G6704	[TU0-13242 1,443,051 &rarr; 1,446,206]	3156	+
TU0-8698	G0-10450	[ydbJ 1,441,058 &rarr; 1,441,324]	267	+
TU0-8699	G6701	[ydbK 1,437,260 &larr; 1,440,784]	3525	-
TU0-41760	G6700 // G6701	[ydbK-ompN 1,435,760 &larr; 1,440,784]	5025	-
TU0-42540	G6700 // G6701	[ydbK-ompN 1,435,760 &larr; 1,440,784]	5025	-
TU0-13254	EG11219	[TU0-13254 1,491,677 &rarr; 1,491,850]	174	+
TU0-13279	EG11526	[TU0-13279 1,531,816 &rarr; 1,532,952]	1137	+
TU0-13252	EG12110	[TU0-13252 1,487,235 &rarr; 1,488,035]	801	+
TU0-13260	EG12865	[TU0-13260 1,498,651 &rarr; 1,498,875]	225	+
TU0-8700	G6737	[ydcI 1,494,148 &larr; 1,495,071]	924	-
TU0-13258	G6738	[TU0-13258 1,495,288 &rarr; 1,496,631]	1344	+
TU0-8701	G6741	[ydcK 1,499,469 &larr; 1,500,449]	981	-
TU0-13261	G6742	[TU0-13261 1,502,457 &rarr; 1,503,125]	669	+
TU0-8702	G6744	[ydcO 1,504,905 &larr; 1,506,080]	1176	-
TU0-13267	G6750	[ydcR 1,510,003 &rarr; 1,511,409]	1407	+
TU0-3644	G6751 // G6755 // G6752 // G6754 // G6753	[ydcSTUV-patD 1,511,654 &rarr; 1,517,002]	5349	+
TU0-41778	G6751 // G6755 // G6752 // G6754 // G6753	[ydcSTUV-patD 1,511,654 &rarr; 1,517,002]	5349	+
TU0-42535	G6751 // G6755 // G6752 // G6754 // G6753	[ydcSTUV-patD 1,511,654 &rarr; 1,517,002]	5349	+
TU0-13270	G6757	[TU0-13270 1,517,648 &rarr; 1,517,881]	234	+
TU0-13290	EG11742 // EG11743	[TU0-13290 1,575,247 &larr; 1,579,342]	4096	-
TU0-13281	EG11825	[TU0-13281 1,534,965 &larr; 1,535,858]	894	-
TU0-13284	EG12713	[yddG 1,546,288 &larr; 1,547,169]	882	-
TU0-8703	G6769	[yddH 1,533,282 &larr; 1,533,851]	570	-
TU0-13283	G6771 // G6773 // G6772	[TU0-13283 1,544,384 &larr; 1,546,028]	1645	-
TU0-13285	G6774	[TU0-13285 1,552,398 &larr; 1,552,682]	285	-
TU0-13288	G6785	[TU0-13288 1,567,504 &larr; 1,568,823]	1320	-
TU0-1421	EG11636	[ydeA 1,617,028 &rarr; 1,618,218]	1191	+
TU0-8705	EG11640	[ydeE 1,621,332 &rarr; 1,622,519]	1188	+
TU0-13309	EG11644	[TU0-13309 1,624,105 &larr; 1,624,497]	393	-
TU0-41801	EG11644	[ydeI 1,624,105 &larr; 1,624,497]	393	-
TU0-41802	EG11644	[TU0-41802 1,624,105 &larr; 1,624,497]	393	-
TU0-8706	EG11645	[ydeJ 1,624,773 &rarr; 1,625,291]	519	+
TU0-13291	G6787	[TU0-13291 1,579,633 &larr; 1,580,790]	1158	-
TU0-13292	G6788	[TU0-13292 1,580,842 &larr; 1,582,524]	1683	-
TU0-41795	G6788 // G6787	[ydeNM 1,579,633 &larr; 1,582,524]	2892	-
TU0-7743	G6789	[ydeO 1,582,926 &larr; 1,583,687]	762	-
TU0-7741	G6791	[ydeP 1,584,207 &larr; 1,586,486]	2280	-
TU0-13293	G6792	[ydeQ 1,586,820 &larr; 1,587,734]	915	-
TU0-13294	G6794 // G6793 // G6795	[TU0-13294 1,587,793 &larr; 1,590,001]	2209	-
TU0-13329	EG11302 // EG11301 // EG11300	[ydfABC 1,648,508 &rarr; 1,649,041]	534	+
TU0-13310	EG12345	[ydfG 1,627,517 &rarr; 1,628,263]	747	+
TU0-13311	G6814	[ydfH 1,628,352 &rarr; 1,629,038]	687	+
TU0-13313	G6816	[TU0-13313 1,629,453 &larr; 1,630,913]	1461	-
TU0-13314	G6817	[TU0-13314 1,631,002 &larr; 1,632,285]	1284	-
TU0-13322	G6830 // G6831	[TU0-13322 1,642,489 &larr; 1,644,304]	1816	-
TU0-13326	G6832	[TU0-13326 1,645,897 &rarr; 1,646,202]	306	+
TU0-13312	G6815	[TU0-13312 1,629,215 &rarr; 1,629,418]	204	+
TU0-13348	G6865	[ydgA 1,689,852 &rarr; 1,691,360]	1509	+
TU0-8707	G6863	[ydgC 1,681,695 &larr; 1,682,030]	336	-
TU0-13342	G6856	[TU0-13342 1,671,960 &rarr; 1,672,781]	822	+
TU0-13344	G6860	[TU0-13344 1,678,427 &rarr; 1,679,371]	945	+
TU0-13345	G6861 // G6862	[TU0-13345 1,679,557 &rarr; 1,681,698]	2142	+
TU0-8708	G6868	[ydgJ 1,703,268 &larr; 1,704,308]	1041	-
TU0-8456	EG10662 // G6873 // G6876 // G6872 // G6875 // G6871 // G6874 // G6870	[ydgK-rsxABCDGE-nth 1,705,250 &rarr; 1,712,158]	6909	+
TU0-8331	EG12140	[ydhB 1,738,866 &larr; 1,739,798]	933	-
TU0-13360	EG12141	[TU0-13360 1,739,911 &rarr; 1,741,122]	1212	+
TU0-13357	G6887	[TU0-13357 1,724,736 &larr; 1,725,632]	897	-
TU-8428	G6884 // G6885 // G6883	[ydhIJK 1,721,025 &rarr; 1,724,133]	3109	+
TU0-13358	G6888	[TU0-13358 1,725,681 &larr; 1,725,920]	240	-
TU0-14351	G6889	[ydhM 1,726,023 &rarr; 1,726,622]	600	+
TU0-8332	G6893	[ydhP 1,736,121 &larr; 1,737,290]	1170	-
TU0-8709	G6894	[ydhQ 1,744,871 &larr; 1,746,127]	1257	-
TU0-13361	G6895	[TU0-13361 1,746,700 &rarr; 1,747,005]	306	+
TU0-13362	G6896	[TU0-13362 1,747,131 &rarr; 1,748,735]	1605	+
TU0-13363	G6898 // G6899 // G6897	[TU0-13363 1,748,747 &larr; 1,751,013]	2267	-
TU0-13364	G6900 // G6902 // G6901	[TU0-13364 1,751,077 &larr; 1,754,477]	3401	-
TU0-14675	G6900 // G6898 // G6902 // G6901 // G6899 // G6897	[ydhYVWXUT 1,748,747 &larr; 1,754,477]	5731	-
TU0-13376	EG12391	[TU0-13376 1,789,613 &rarr; 1,789,804]	192	+
TU0-13374	EG12432 // G6918	[TU0-13374 1,775,587 &rarr; 1,778,347]	2761	+
TU0-13368	G6912 // G6913 // G6911	[TU0-13368 1,764,934 &larr; 1,768,685]	3752	-
TU0-13369	G6914	[TU0-13369 1,769,074 &rarr; 1,770,186]	1113	+
TU0-13371	G6915	[TU0-13371 1,770,615 &rarr; 1,770,971]	357	+
TU0-13372	G6916	[TU0-13372 1,771,071 &rarr; 1,772,285]	1215	+
TU0-13373	G6917 // EG11234 // EG10076	[TU0-13373 1,772,512 &rarr; 1,775,444]	2933	+
TU0-8710	G6919	[ydiP 1,778,390 &larr; 1,779,301]	912	-
TU0-5322	G6921 // G6920 // EG12357 // G6923 // G6922	[ydiQRST-fadK 1,779,617 &rarr; 1,784,677]	5061	+
TU0-8482	G6924	[ydiU 1,789,808 &larr; 1,791,244]	1437	-
TU0-13377	G6925	[ydiV 1,791,307 &larr; 1,792,020]	714	-
TU0-41842	G6928	[TU0-41842 1,805,325 &larr; 1,806,083]	759	-
TU0-13381	G6929	[TU0-13381 1,807,400 &rarr; 1,807,690]	291	+
TU00356	EG11014 // EG11134 // EG10943	[ydjA-selD-topB 1,844,999 &larr; 1,848,676]	3678	-
TU0-13392	EG12369	[TU0-13392 1,852,621 &larr; 1,853,979]	1359	-
TU0-13393	G6957	[TU0-13393 1,854,096 &larr; 1,854,854]	759	-
TU0-13394	G6962 // G6959 // G6963 // G6961 // G6960 // G6958	[ydjLKJIHG 1,854,991 &larr; 1,861,332]	6342	-
TU0-8261	G6933	[ydjM 1,810,211 &rarr; 1,810,801]	591	+
TU0-13385	G6935	[TU0-13385 1,812,329 &larr; 1,813,132]	804	-
TU0-13388	G6948 // G6945 // G6951 // G6950 // G6949 // G6946 // G6947	[TU0-13388 1,833,401 &rarr; 1,839,400]	6000	+
TU0-13395	G6964	[TU0-13395 1,861,702 &larr; 1,861,974]	273	-
TU0-13398	G6966	[TU0-13398 1,863,850 &rarr; 1,864,734]	885	+
TU0-13399	G6967	[yeaE 1,864,782 &larr; 1,865,636]	855	-
TU0-3621	G6969 // G6970	[yeaGH 1,866,908 &rarr; 1,870,238]	3331	+
TU0-14632	G6969 // G6970	[yeaGH 1,866,908 &rarr; 1,870,238]	3331	+
TU0-13403	G6973	[TU0-13403 1,873,574 &rarr; 1,874,077]	504	+
TU0-8712	G6975	[yeaL 1,874,352 &rarr; 1,874,798]	447	+
TU0-8713	G6976	[yeaM 1,874,755 &larr; 1,875,576]	822	-
TU0-13405	G6978	[TU0-13405 1,876,909 &rarr; 1,877,256]	348	+
TU0-8714	G6980	[yeaP 1,877,715 &rarr; 1,878,740]	1026	+
TU0-13406	G6981	[TU0-13406 1,879,007 &larr; 1,879,255]	249	-
TU0-13407	G6982 // G6983	[yeaR-yoaG 1,879,403 &larr; 1,879,948]	546	-
TU0-13411	G6987 // G6988	[TU0-13411 1,883,188 &rarr; 1,885,789]	2602	+
TU0-13412	G6989	[TU0-13412 1,885,845 &rarr; 1,886,810]	966	+
TU0-3464	G6990	[yeaY 1,889,951 &larr; 1,890,532]	582	-
TU0-14369	EG10013	[yebA 1,940,313 &larr; 1,941,635]	1323	-
TU0-8244	EG11136	[yebB 1,946,251 &rarr; 1,946,853]	603	+
TU0-8245	EG11136	[yebB 1,946,251 &rarr; 1,946,853]	603	+
TU0-8241	EG11137 // EG10925	[yebC-ruvC 1,946,855 &larr; 1,948,151]	1297	-
TU0-13436	EG11806	[yebE 1,929,048 &larr; 1,929,707]	660	-
TU0-13437	EG11807	[TU0-13437 1,930,034 &larr; 1,930,390]	357	-
TU0-13438	EG11808	[yebG 1,930,457 &larr; 1,930,747]	291	-
TU0-13439	EG12860	[TU0-13439 1,936,652 &rarr; 1,937,521]	870	+
TU0-13423	G7001	[TU0-13423 1,908,261 &larr; 1,908,548]	288	-
TU0-8715	G7004	[yebQ 1,910,276 &rarr; 1,911,649]	1374	+
TU0-13427	G7007 // G7006	[TU0-13427 1,916,258 &rarr; 1,920,143]	3886	+
TU0-13429	G7009	[TU0-13429 1,921,780 &rarr; 1,922,016]	237	+
TU0-13430	G7010	[TU0-13430 1,922,121 &rarr; 1,922,312]	192	+
TU0-13450	EG11139	[TU0-13450 1,990,954 &larr; 1,991,619]	666	-
TU0-13442	EG12379 // EG12378	[TU0-13442 1,950,832 &rarr; 1,952,213]	1382	+
TU0-8716	EG12861	[yecF 1,995,818 &rarr; 1,996,042]	225	+
TU0-8717	G7036	[yecH 1,989,251 &larr; 1,989,490]	240	-
TU0-13447	G0-10455	[TU0-13447 1,987,507 &larr; 1,987,758]	252	-
TU00451	G7024 // G7025	[yecM-cutC 1,958,520 &larr; 1,959,846]	1327	-
TU0-13443	G7021 // G7020 // G7019	[TU0-13443 1,952,266 &rarr; 1,954,413]	2148	+
TU-8399	G7035	[yecR 1,988,222 &rarr; 1,988,545]	324	+
TU0-13445	G7026	[yecT 1,961,972 &rarr; 1,962,460]	489	+
TU0-8718	EG11141	[yedA 2,029,539 &rarr; 2,030,459]	921	+
TU0-8719	EG11659	[yedD 2,007,677 &larr; 2,008,090]	414	-
TU0-13455	EG11660 // EG11661	[TU0-13455 2,008,277 &rarr; 2,009,712]	1436	+
TU0-13462	EG12709	[TU0-13462 2,028,449 &larr; 2,029,366]	918	-
TU0-13456	EG11662	[TU0-13456 2,009,821 &rarr; 2,010,489]	669	+
TU0-13457	G7040	[TU0-13457 2,010,600 &rarr; 2,011,079]	480	+
TU0-13458	G7043	[TU0-13458 2,011,223 &larr; 2,012,351]	1129	-
TU0-8720	G7048	[yedP 2,025,511 &rarr; 2,026,326]	816	+
TU0-13463	EG12710 // G7051	[TU0-13463 2,032,384 &larr; 2,033,484]	1101	-
TU0-13464	G7052	[yedS 2,034,051 &rarr; 2,035,243]	1193	+
TU0-13486	EG11891	[TU0-13486 2,079,533 &larr; 2,080,591]	1059	-
TU0-13489	EG11895 // EG11894	[yeeED 2,084,226 &larr; 2,085,525]	1300	-
TU0-13472	G7064	[TU0-13472 2,044,938 &rarr; 2,052,014]	7077	+
TU0-13473	G7066	[TU0-13473 2,052,276 &larr; 2,053,328]	1053	-
TU0-13476	G7068	[TU0-13476 2,056,858 &rarr; 2,057,574]	717	+
TU0-13477	G7070	[TU0-13477 2,058,203 &larr; 2,059,846]	1644	-
TU0-13482	G7079	[TU0-13482 2,070,786 &rarr; 2,071,211]	426	+
TU0-13483	G7081 // G7084 // G7083 // G7086 // G7082 // G7085	[TU0-13483 2,074,779 &rarr; 2,078,134]	3356	+
TU0-13485	G7087	[TU0-13485 2,079,032 &larr; 2,079,361]	330	-
TU0-13491	G7088	[TU0-13491 2,087,329 &larr; 2,088,258]	930	-
TU0-13492	G7089	[TU0-13492 2,088,304 &larr; 2,089,128]	825	-
TU0-13493	EG12844 // G0-9121	[yefM-yoeB 2,089,211 &larr; 2,089,713]	503	-
TU0-8721	EG12200	[yegD 2,147,674 &rarr; 2,149,026]	1353	+
TU0-8722	EG12396	[yegE 2,143,266 &rarr; 2,146,583]	3318	+
TU0-8723	G7108	[yegH 2,137,902 &rarr; 2,139,485]	1584	+
TU0-8724	G7109	[yegI 2,149,039 &larr; 2,150,985]	1947	-
TU0-8725	G7110	[yegJ 2,151,185 &rarr; 2,151,646]	462	+
TU0-13501	G7112 // G7111	[TU0-13501 2,151,711 &larr; 2,153,128]	1418	-
TU0-13504	G7117	[TU0-13504 2,165,189 &rarr; 2,165,521]	333	+
TU0-7744	G7120 // G7122	[yegRZ 2,167,602 &larr; 2,168,306]	705	-
TU0-8328	G7123	[yegS 2,168,712 &rarr; 2,169,611]	900	+
TU0-13509	G7130 // G7132 // G7131	[yegTUV 2,178,821 &rarr; 2,182,061]	3241	+
TU0-13510	G7133	[yegW 2,182,035 &larr; 2,182,781]	747	-
TU0-13511	G7134	[TU0-13511 2,182,833 &larr; 2,183,651]	819	-
TU0-13516	EG11988 // EG11990 // EG11987 // EG11989	[TU0-13516 2,187,380 &larr; 2,192,222]	4843	-
TU0-13517	EG11991	[TU0-13517 2,192,515 &larr; 2,192,796]	282	-
TU0-9	EG11992	[yehF 2,196,474 &rarr; 2,197,298]	825	+
TU0-13521	EG11995 // G8208	[TU0-13521 2,197,410 &rarr; 2,203,911]	6502	+
TU0-13522	G0-10458	[TU0-13522 2,203,972 &rarr; 2,204,289]	318	+
TU0-13523	EG12002 // EG11999 // EG12003 // EG11998	[TU0-13523 2,204,596 &rarr; 2,210,944]	6349	+
TU0-13524	EG12004	[yehR 2,211,225 &rarr; 2,211,686]	462	+
TU0-13525	EG12005	[yehS 2,211,726 &larr; 2,212,196]	471	-
TU0-13541	EG12105	[TU0-13541 2,248,737 &larr; 2,249,618]	882	-
TU0-8726	EG12026	[yeiG 2,243,910 &rarr; 2,244,746]	837	+
TU0-13542	EG12027	[TU0-13542 2,249,717 &rarr; 2,250,766]	1050	+
TU0-14304	EG12028	[yeiI 2,251,700 &rarr; 2,252,788]	1089	+
TU861	EG12031	[yeiL 2,255,355 &rarr; 2,256,014]	660	+
TU0-14303	EG12031	[yeiL 2,255,355 &rarr; 2,256,014]	660	+
TU0-13547	EG12035	[yeiP 2,265,450 &rarr; 2,266,022]	573	+
TU0-13548	EG12036	[TU0-13548 2,266,245 &rarr; 2,267,711]	1467	+
TU0-13549	EG12104 // G7146	[TU0-13549 2,267,829 &rarr; 2,269,567]	1739	+
TU0-14238	G0-10511	[yeiW 2,265,041 &larr; 2,265,295]	255	-
TU0-13552	EG12041 // EG12038 // EG12040 // EG12037	[TU0-13552 2,272,364 &rarr; 2,277,889]	5526	+
TU0-42565	EG12042	[yejG 2,277,893 &larr; 2,278,237]	345	-
TU0-13553	EG12042	[yejG 2,277,893 &larr; 2,278,237]	345	-
TU0-8727	EG12048	[yejK 2,282,940 &larr; 2,283,947]	1008	-
TU0-13558	EG12049 // EG12043	[TU0-13558 2,284,129 &rarr; 2,286,136]	2008	+
TU-8401	EG12051	[yejO NIL &larr; NIL]		-
TU0-13563	EG11142 // G7155 // G7156 // G7152 // G7153	[TU0-13563 2,327,367 &larr; 2,336,644]	9278	-
TU0-14305	EG12360	[yfaE 2,348,514 &rarr; 2,348,768]	255	+
TU0-8728	EG12881	[yfaH 2,349,687 &rarr; 2,349,893]	207	+
TU0-8729	EG12850	[yfaL 2,340,417 &larr; 2,344,169]	3753	-
TU0-13565	G7159 // G7158	[TU0-13565 2,358,042 &larr; 2,360,152]	2111	-
TU0-13566	G7161 // G7160	[TU0-13566 2,360,209 &larr; 2,362,211]	2003	-
TU0-14691	G7161 // G7159 // G7160 // G7158	[yfaXWVU 2,358,042 &larr; 2,362,211]	4170	-
TU0-13567	G7162	[yfaY 2,362,431 &larr; 2,363,633]	1203	-
TU0-13568	G7163	[TU0-13568 2,363,733 &larr; 2,364,275]	543	-
TU0-8731	G7177	[yfbK 2,383,995 &larr; 2,385,722]	1728	-
TU0-13575	G7178	[TU0-13575 2,385,860 &rarr; 2,386,831]	972	+
TU0-13576	G7179	[TU0-13576 2,386,934 &rarr; 2,387,437]	504	+
TU0-8732	G7180	[yfbN 2,387,710 &larr; 2,388,426]	717	-
TU0-13577	G7181	[TU0-13577 2,388,635 &rarr; 2,389,057]	423	+
TU0-13578	G7182	[TU0-13578 2,389,116 &rarr; 2,389,964]	849	+
TU0-13580	G7185	[yfbR 2,408,862 &rarr; 2,409,461]	600	+
TU0-13581	G7186	[TU0-13581 2,409,520 &larr; 2,411,352]	1833	-
TU0-13582	G7188 // G7187	[yfbU-hxpA 2,411,439 &larr; 2,412,594]	1156	-
TU0-13583	G7189	[TU0-13583 2,412,677 &larr; 2,413,132]	456	-
TU0-13584	G7190	[TU0-13584 2,417,081 &rarr; 2,418,601]	1521	+
TU0-13585	G7191	[yfcD 2,418,634 &larr; 2,419,176]	543	-
TU0-13586	G7192	[yfcE 2,419,234 &larr; 2,419,788]	555	-
TU0-13587	G7193	[TU0-13587 2,419,841 &larr; 2,420,485]	645	-
TU0-13588	G7194	[TU0-13588 2,420,621 &rarr; 2,421,268]	648	+
TU0-13592	G7198	[TU0-13592 2,438,942 &larr; 2,440,120]	1179	-
TU0-8733	G7202	[yfcN 2,448,606 &rarr; 2,449,157]	552	+
TU0-13594	G7206 // G7205 // G7204 // G7207 // G7209 // G7203	[TU0-13594 2,449,228 &larr; 2,455,001]	5774	-
TU0-13595	G7210	[TU0-13595 2,455,083 &larr; 2,455,646]	564	-
TU0-13597	G7214	[yfcZ 2,460,650 &larr; 2,460,934]	285	-
TU0-13599	G7217	[TU0-13599 2,465,301 &rarr; 2,466,233]	933	+
TU0-13608	G7234	[TU0-13608 2,488,023 &larr; 2,489,168]	1146	-
TU0-13598	G7215	[TU0-13598 2,463,012 &rarr; 2,464,070]	1059	+
TU0-13601	G7220 // G7219 // G7221	[TU0-13601 2,467,855 &rarr; 2,470,462]	2608	+
TU0-13603	G7225 // G7223 // G7227 // G7226 // G7224	[TU0-13603 2,471,077 &larr; 2,473,246]	2170	-
TU0-13604	G7229 // G7228	[yfdPQ 2,473,604 &rarr; 2,474,856]	1253	+
TU0-13605	G7232 // G7231 // G7230	[TU0-13605 2,474,984 &rarr; 2,476,178]	1195	+
TU0-13609	G7235	[TU0-13609 2,489,242 &larr; 2,490,186]	945	-
TU0-7746	G7236 // G7237 // G7235 // G7234 // G7238	[yfdX 2,488,023 &larr; 2,494,402]	6380	-
