Protein ID	half_life (units.min)	notes	assignment
sp|P0A7Y0|RNC_ECOLI	530.79808656	consistent	C-lim12_1
sp|P0A800|RPOZ_ECOLI	332.61989454	consistent	C-lim12_1
sp|P0A805|RRF_ECOLI	527.37149322	consistent	C-lim12_1
sp|P0A814|RUVC_ECOLI	404.19019026	consistent	C-lim12_1
sp|P0A817|METK_ECOLI	428.60446248	consistent	C-lim12_1
sp|P0A821|SELA_ECOLI	744.6574842	consistent	C-lim12_1
sp|P0A823|SFSA_ECOLI	683.5252932	consistent	C-lim12_1
sp|P0A830|DCTA_ECOLI	668.7885078	consistent	C-lim12_1
sp|P0A832|SSRP_ECOLI	810.024468	consistent	C-lim12_1
sp|P0A836|SUCC_ECOLI	702.867099	consistent	C-lim12_1
sp|P0A840|SURE_ECOLI	522.3578419800001	consistent	C-lim12_1
sp|P0A843|TATE_ECOLI	92.32078548	consistent	C-lim12_1
sp|P0A847|TGT_ECOLI	670.1220324	consistent	C-lim12_1
sp|P0A853|TNAA_ECOLI	575.39403942	consistent	C-lim12_1
sp|P0A855|TOLB_ECOLI	696.7513176	consistent	C-lim12_1
sp|P0A858|TPIS_ECOLI	647.7574008	consistent	C-lim12_1
sp|P0A862|TPX_ECOLI	697.054887	consistent	C-lim12_1
sp|P0A867|TALA_ECOLI	702.4006206	consistent	C-lim12_1
sp|P0A870|TALB_ECOLI	721.3065677999999	consistent	C-lim12_1
sp|P0A873|TRMD_ECOLI	563.6593570800001	consistent	C-lim12_1
sp|P0A879|TRPB_ECOLI	593.033064	consistent	C-lim12_1
sp|P0A881|TRPR_ECOLI	539.49990966	consistent	C-lim12_1
sp|P0A884|TYSY_ECOLI	625.1651328	consistent	C-lim12_1
sp|P0A887|UBIE_ECOLI	493.39704972	consistent	C-lim12_1
sp|P0A894|RAPZ_ECOLI	724.3170702	consistent	C-lim12_1
sp|P0A8A0|YEBC_ECOLI	454.8065739	consistent	C-lim12_1
sp|P0A8A4|PSRP_ECOLI	656.132754	consistent	C-lim12_1
sp|P0A8A8|RIMP_ECOLI	677.082435	consistent	C-lim12_1
sp|P0A8B5|YBAB_ECOLI	458.1810795	consistent	C-lim12_1
sp|P0A8C4|YGFB_ECOLI	545.4688865400001	consistent	C-lim12_1
sp|P0A8E1|YCFP_ECOLI	528.54698214	consistent	C-lim12_1
sp|P0A8E5|YACL_ECOLI	380.75979432	consistent	C-lim12_1
sp|P0A8F0|UPP_ECOLI	712.1266788	consistent	C-lim12_1
sp|P0A8F4|URK_ECOLI	579.6703896	consistent	C-lim12_1
sp|P0A8G3|UXAC_ECOLI	755.9762364	consistent	C-lim12_1
sp|P0A8G6|NQOR_ECOLI	712.9541478	consistent	C-lim12_1
sp|P0A8H6|YIHI_ECOLI	511.91699334	consistent	C-lim12_1
sp|P0A8I3|YAAA_ECOLI	395.40703716	consistent	C-lim12_1
sp|P0A8I5|TRMB_ECOLI	498.27616614	consistent	C-lim12_1
sp|P0A8I8|RLMH_ECOLI	645.6890916	consistent	C-lim12_1
sp|P0A8J2|DNAT_ECOLI	321.53111178	consistent	C-lim12_1
sp|P0A8K1|PSD_ECOLI	796.7867946	consistent	C-lim12_1
sp|P0A8L1|SYS_ECOLI	715.613157	consistent	C-lim12_1
sp|P0A8M0|SYN_ECOLI	695.3806943999999	consistent	C-lim12_1
sp|P0A8M3|SYT_ECOLI	714.3546389999999	consistent	C-lim12_1
sp|P0A8M6|YEEX_ECOLI	652.60329	consistent	C-lim12_1
sp|P0A8N3|SYK1_ECOLI	651.8419068	consistent	C-lim12_1
sp|P0A8N5|SYK2_ECOLI	598.03621218	consistent	C-lim12_1
sp|P0A8P3|FETP_ECOLI	578.87450586	consistent	C-lim12_1
sp|P0A8P8|XERD_ECOLI	272.9284452	consistent	C-lim12_1
sp|P0A8R7|YCJF_ECOLI	675.3731664000001	consistent	C-lim12_1
sp|P0A8R9|HDFR_ECOLI	602.883603	consistent	C-lim12_1
sp|P0A8S1|ARGP_ECOLI	704.5847094000001	consistent	C-lim12_1
sp|P0A8T1|PRMA_ECOLI	584.9845029	consistent	C-lim12_1
sp|P0A8T7|RPOC_ECOLI	471.05767698	consistent	C-lim12_1
sp|P0A8U2|YAFD_ECOLI	211.81833654	consistent	C-lim12_1
sp|P0A8V6|FADR_ECOLI	635.1980705999999	consistent	C-lim12_1
sp|P0A8W5|YQGE_ECOLI	506.45649108	consistent	C-lim12_1
sp|P0A8Y3|YIHX_ECOLI	582.6532493999999	consistent	C-lim12_1
sp|P0A8Y5|YIDA_ECOLI	606.84678	consistent	C-lim12_1
sp|P0A8Z0|YCIA_ECOLI	677.741586	consistent	C-lim12_1
sp|P0A903|BAMC_ECOLI	668.9078448	consistent	C-lim12_1
sp|P0A905|SLYB_ECOLI	576.8962956600001	consistent	C-lim12_1
sp|P0A910|OMPA_ECOLI	847.022868	consistent	C-lim12_1
sp|P0A912|PAL_ECOLI	687.3385907999999	consistent	C-lim12_1
sp|P0A917|OMPX_ECOLI	900.6636546	consistent	C-lim12_1
sp|P0A921|PA1_ECOLI	864.5115516	consistent	C-lim12_1
sp|P0A927|TSX_ECOLI	891.9542112	consistent	C-lim12_1
sp|P0A935|MLTA_ECOLI	269.98974876	consistent	C-lim12_1
sp|P0A940|BAMA_ECOLI	708.7815738	consistent	C-lim12_1
sp|P0A959|ALAA_ECOLI	585.6694386	consistent	C-lim12_1
