reactionID,kcat (1/s),Exclude
DUTP-PYROP-RXN,[11],
DUTP-PYROP-RXN,[11],
UDPGLCNACEPIM-RXN,[7.1],
CYTDEAM-RXN,[165],
PYRIDOXKIN-RXN,[2.33],
PNKIN-RXN,[0.33],
PYRAMKIN-RXN,[0.67],
RFFTRANS-RXN,[0.38],
ASPARTATE--TRNA-LIGASE-RXN,"[12,30]",
RXN0-5001,[195],
RXN0-5001,[0.173],
RXN-12402,[51.3],
KDO-8PSYNTH-RXN,[6.1],
3.4.13.9-RXN,[281],
LYSINE--TRNA-LIGASE-RXN,[1.8],
LYSINE--TRNA-LIGASE-RXN,[3.4],
DAHPSYN-RXN,[62.3],
DAHPSYN-RXN,[62.3],
2.7.7.60-RXN,[48.4],
2.7.7.60-RXN,[54.1],
CYTDEAM-RXN,[165],
RXN-8999,[2.5],
RXN0-7008,[17],
RXN0-7008,[20],
RXN0-3741,[0.24],
5-NUCLEOTID-RXN,[34.2],
5-NUCLEOTID-RXN,[30.4],
RXN0-3741,[0.16],
RXN0-3741,[0.2],
RXN-14142,[8.04],
RXN0-5292,[0.23],
RXN-14126,[9.84],
RXN-14161,[0.3],
5-NUCLEOTID-RXN,[11],
5-NUCLEOTID-RXN,[4.9],
5-NUCLEOTID-RXN,[0.56],
5-NUCLEOTID-RXN,[3.55],
5-NUCLEOTID-RXN,[4.10],
RXN-14090,[5.93],
RXN-14143,[0.23],
RXN-14143,[21.4],
CYSTEINE--TRNA-LIGASE-RXN,[2.46],
2.1.1.79-RXN,[0.12],
RXN-15125,[544],
RXN-15125,[436],
THREONINE--TRNA-LIGASE-RXN,[33],
CTPSYN-RXN,[6.1],
PHENYLALANINE--TRNA-LIGASE-RXN,[1.72],
F16ALDOLASE-RXN,[14.17],
RXN0-5408,[4.4],
RXN-7968,[0.091],
RXN-7968,[0.105],
RXN-7967,[0.142],
