# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_clim_half_lives_to_flat.py on Tue Mar 24 16:58:41 2026
id	common_name	half_life (units.min)
"NUCLEOSIDE-DIP-KIN-MONOMER"	"ndk"	1914.725051971764
"YFEP-MONOMER"	"mntH"	135.11640163539107
"G7459-MONOMER"	"rppH"	1914.725051971764
"EG10666-MONOMER"	"nusB"	1914.725051971764
"G7842-MONOMER"	"orn"	1914.725051971764
"ASPCARBCAT-MONOMER"	"pyrB"	1914.725051971764
"ASPDECARBOX-MONOMER"	"panD"	228.29815028802383
"PDXJ-MONOMER"	"pdxJ"	1914.725051971764
"6PFK-1-MONOMER"	"pfkA"	1914.725051971764
"PGK"	"pgk"	1914.725051971764
"PGAM2-MONOMER"	"ytjC"	1028.3827303169205
"EG10689-MONOMER"	"pcm"	1914.725051971764
"GLYCEROL-3-P-ACYLTRANSFER-MONOMER"	"plsB"	1914.725051971764
"INORGPYROPHOSPHAT-MONOMER"	"ppa"	1914.725051971764
"PPK-MONOMER"	"ppk"	1914.725051971764
"MONOMER0-541"	"nadK"	1914.725051971764
"GLUTKIN-MONOMER"	"proB"	1914.725051971764
"EG11676-MONOMER"	"hslV"	1914.725051971764
"PD00205"	"lexA"	317.14737480785567
"EG11920-MONOMER"	"pepE"	1914.725051971764
"EG10785-MONOMER"	"pth"	1914.725051971764
"ADENYLOSUCCINATE-SYN-MONOMER"	"purA"	1914.725051971764
"SAICARSYN-MONOMER"	"purC"	1914.725051971764
"DIHYDROOROTOX-MONOMER"	"pyrD"	1914.725051971764
"OROPRIBTRANS-MONOMER"	"pyrE"	1914.725051971764
"CTPSYN-MONOMER"	"pyrG"	1914.725051971764
"UMPKI-MONOMER"	"pyrH"	1914.725051971764
"ASPCARBREG-MONOMER"	"pyrI"	1914.725051971764
"SPED-MONOMER"	"speD"	1914.725051971764
"EG10812-MONOMER"	"queA"	1178.7930617490567
"EG11178-MONOMER"	"rbfA"	1914.725051971764
"EG10823-MONOMER"	"recA"	1914.725051971764
"EG10828-MONOMER"	"recF"	1914.725051971764
"EG10834-MONOMER"	"recR"	769.866929456836
"EG10761-MONOMER"	"prfA"	1914.725051971764
"EG12114-MONOMER"	"prfC"	1914.725051971764
"GTP-CYCLOHYDRO-II-MONOMER"	"ribA"	1914.725051971764
"DIOHBUTANONEPSYN-MONOMER"	"ribB"	90.08918803255034
"EG10871-MONOMER"	"rplJ"	1914.725051971764
"EG10872-MONOMER"	"rplK"	1914.725051971764
"EG10873-MONOMER"	"rplL"	1914.725051971764
"EG10880-MONOMER"	"rplS"	1872.5470103083644
"EG10864-MONOMER"	"rplA"	1914.725051971764
"EG10881-MONOMER"	"rplT"	1914.725051971764
"EG50002-MONOMER"	"rpmA"	1914.725051971764
"EG10886-MONOMER"	"rpmB"	1798.3875152990956
"EG10887-MONOMER"	"rpmC"	1914.725051971764
"EG10889-MONOMER"	"rpmE"	611.7828386635124
"G6167-MONOMER"	"ykgM"	1914.725051971764
"EG10890-MONOMER"	"rpmF"	1137.7655994632705
"EG10892-MONOMER"	"rpmH"	1836.7445778085728
"EG11232-MONOMER"	"rpmJ"	1708.1579638568078
