# Generated by runscripts/reconstruction/polycistronic_rnas/create_tu_files.py on Fri Feb  5 17:21:03 2021 
"id"	"type"	"modified_forms"	"gene_set"	"monomer_set"
"EG10426_RNA"	"mRNA"	[]	["EG10426"]	["EG10426-MONOMER"]
"EG10427_RNA"	"mRNA"	[]	["EG10427"]	["GLUTRNAREDUCT-MONOMER"]
"EG10428_RNA"	"mRNA"	[]	["EG10428"]	["PORPHOBILSYNTH-MONOMER"]
"EG10431_RNA"	"mRNA"	[]	["EG10431"]	["PROTOHEME-FERROCHELAT-MONOMER"]
"EG10432_RNA"	"mRNA"	[]	["EG10432"]	["GSAAMINOTRANS-MONOMER"]
"EG10440_RNA"	"mRNA"	[]	["EG10440"]	["PD00347"]
"EG10441_RNA"	"mRNA"	[]	["EG10441"]	["PD00348"]
"EG10453_RNA"	"mRNA"	[]	["EG10453"]	["HISS-MONOMER"]
"EG10456_RNA"	"mRNA"	[]	["EG10456"]	["EG10456-MONOMER"]
"EG10457_RNA"	"mRNA"	[]	["EG10457"]	["PD00288"]
"EG10461_RNA"	"mRNA"	[]	["EG10461"]	["EG10461-MONOMER"]
"EG10462_RNA"	"mRNA"	[]	["EG10462"]	["EG10462-MONOMER"]
"EG10463_RNA"	"mRNA"	[]	["EG10463"]	["EG10463-MONOMER"]
"EG10464_RNA"	"mRNA"	[]	["EG10464"]	["LAUROYLACYLTRAN-MONOMER"]
"EG10465_RNA"	"mRNA"	[]	["EG10465"]	["DIOHBUTANONEPSYN-MONOMER"]
"EG10466_RNA"	"mRNA"	[]	["EG10466"]	["EG10466-MONOMER"]
"EG10467_RNA"	"mRNA"	[]	["EG10467"]	["EG10467-MONOMER"]
"EG10488_RNA"	"mRNA"	[]	["EG10488"]	["EG10488-MONOMER"]
"EG10489_RNA"	"mRNA"	[]	["EG10489"]	["ISOCITDEH-SUBUNIT"]
"EG10490_RNA"	"mRNA"	[]	["EG10490"]	["EG10490-MONOMER"]
"EG10491_RNA"	"mRNA"	[]	["EG10491"]	["PD04099"]
"EG10493_RNA"	"mRNA"	[]	["EG10493"]	["THREDEHYDSYN-MONOMER"]
"EG10495_RNA"	"mRNA"	[]	["EG10495"]	["KETOLREDUCTOISOM-MONOMER"]
"EG10498_RNA"	"mRNA"	[]	["EG10498"]	["LARGEILVG-MONOMER"]
"EG10503_RNA"	"mRNA"	[]	["EG10503"]	["PD00200"]
"EG10504_RNA"	"mRNA"	[]	["EG10504"]	["EG10504-MONOMER"]
"EG10505_RNA"	"mRNA"	[]	["EG10505"]	["EG10505-MONOMER"]
"EG10506_RNA"	"mRNA"	[]	["EG10506"]	["EG10506-MONOMER"]
"EG10507_RNA"	"mRNA"	[]	["EG10507"]	["EG10507-MONOMER"]
"EG10509_RNA"	"mRNA"	[]	["EG10509"]	["HYDROPEROXIDII-MONOMER"]
"EG10510_RNA"	"mRNA"	[]	["EG10510"]	["RPOS-MONOMER"]
"EG10511_RNA"	"mRNA"	[]	["EG10511"]	["HYDROPEROXIDI-MONOMER"]
"EG10518_RNA"	"mRNA"	[]	["EG10518"]	["KDO-8PSYNTH-MONOMER"]
"EG10520_RNA"	"mRNA"	[]	["EG10520"]	["KDOTRANS-MONOMER"]
"EG10522_RNA"	"mRNA"	[]	["EG10522"]	["KGTP-MONOMER"]
"EG10525_RNA"	"mRNA"	[]	["EG10525"]	["PD00763"]
"EG10531_RNA"	"mRNA"	[]	["EG10531"]	["PD00519"]
"EG10535_RNA"	"mRNA"	[]	["EG10535"]	["EG10535-MONOMER"]
"EG10539_RNA"	"mRNA"	[]	["EG10539"]	["LIVJ-MONOMER"]
"EG10542_RNA"	"mRNA"	[]	["EG10542"]	["EG10542-MONOMER"]
"EG10543_RNA"	"mRNA"	[]	["EG10543"]	["E3-MONOMER"]
"EG10544_RNA"	"mRNA"	[]	["EG10544"]	["EG10544-MONOMER"]
"EG10547_RNA"	"mRNA"	[]	["EG10547"]	["PD00353"]
"EG10549_RNA"	"mRNA"	[]	["EG10549"]	["DIAMINOPIMDECARB-MONOMER"]
"EG10550_RNA"	"mRNA"	[]	["EG10550"]	["ASPKINIII-MONOMER"]
"EG10551_RNA"	"mRNA"	[]	["EG10551"]	["PD00360"]
"EG10553_RNA"	"mRNA"	[]	["EG10553"]	["LYSU-MONOMER"]
"EG10557_RNA"	"mRNA"	[]	["EG10557"]	["PD00361"]
"EG10561_RNA"	"mRNA"	[]	["EG10561"]	["AMYLOMALT-MONOMER"]
"EG10562_RNA"	"mRNA"	[]	["EG10562"]	["PD00237"]
"EG10564_RNA"	"mRNA"	[]	["EG10564"]	["EG10564-MONOMER"]
"EG10565_RNA"	"mRNA"	[]	["EG10565"]	["MALTODEXGLUCOSID-MONOMER"]
"EG10566_RNA"	"mRNA"	[]	["EG10566"]	["MANNPISOM-MONOMER"]
"EG10573_RNA"	"mRNA"	[]	["EG10573"]	["EG10573-MONOMER"]
"EG10576_RNA"	"mRNA"	[]	["EG10576"]	["MALATE-DEHASE-MONOMER"]
"EG10581_RNA"	"mRNA"	[]	["EG10581"]	["HOMSUCTRAN-MONOMER"]
"EG10583_RNA"	"mRNA"	[]	["EG10583"]	["CYSTATHIONINE-BETA-LYASE-MONOMER"]
"EG10584_RNA"	"mRNA"	[]	["EG10584"]	["HOMOCYSMET-MONOMER"]
"EG10585_RNA"	"mRNA"	[]	["EG10585"]	["METHYLENETHFREDUCT-MONOMER"]
"EG10586_RNA"	"mRNA"	[]	["EG10586"]	["METG-MONOMER"]
"EG10587_RNA"	"mRNA"	[]	["EG10587"]	["HOMOCYSMETB12-MONOMER"]
"EG10588_RNA"	"mRNA"	[]	["EG10588"]	["PD04032"]
"EG10589_RNA"	"mRNA"	[]	["EG10589"]	["S-ADENMETSYN-MONOMER"]
"EG10591_RNA"	"mRNA"	[]	["EG10591"]	["PD03938"]
"EG10599_RNA"	"mRNA"	[]	["EG10599"]	["EG10599-MONOMER"]
"EG10605_RNA"	"mRNA"	[]	["EG10605"]	["EG10605-MONOMER"]
"EG10608_RNA"	"mRNA"	[]	["EG10608"]	["EG10608-MONOMER"]
"EG10611_RNA"	"mRNA"	[]	["EG10611"]	["EG10611-MONOMER"]
"EG10612_RNA"	"mRNA"	[]	["EG10612"]	["EG10612-MONOMER"]
"EG10614_RNA"	"mRNA"	[]	["EG10614"]	["MYRISTOYLACYLTRAN-MONOMER"]
"EG10617_RNA"	"mRNA"	[]	["EG10617"]	["MTR-MONOMER"]
"EG10624_RNA"	"mRNA"	[]	["EG10624"]	["EG10624-MONOMER"]
"EG10625_RNA"	"mRNA"	[]	["EG10625"]	["EG10625-MONOMER"]
"EG10628_RNA"	"mRNA"	[]	["EG10628"]	["FLAVONADPREDUCT-MONOMER"]
"EG10629_RNA"	"mRNA"	[]	["EG10629"]	["EMRE-MONOMER"]
"EG10631_RNA"	"mRNA"	[]	["EG10631"]	["L-ASPARTATE-OXID-MONOMER"]
"EG10632_RNA"	"mRNA"	[]	["EG10632"]	["NAG6PDEACET-MONOMER"]
"EG10634_RNA"	"mRNA"	[]	["EG10634"]	["EG10634-MONOMER"]
"EG10635_RNA"	"mRNA"	[]	["EG10635"]	["NAGE-MONOMER"]
"EG10636_RNA"	"mRNA"	[]	["EG10636"]	["PD00266"]
"EG10637_RNA"	"mRNA"	[]	["EG10637"]	["ACNEULY-MONOMER"]
"EG10642_RNA"	"mRNA"	[]	["EG10642"]	["NARK-MONOMER"]
"EG10649_RNA"	"mRNA"	[]	["EG10649"]	["NADH-DHII-MONOMER"]
"EG10650_RNA"	"mRNA"	[]	["EG10650"]	["NUCLEOSIDE-DIP-KIN-MONOMER"]
"EG10651_RNA"	"mRNA"	[]	["EG10651"]	["EG10651-MONOMER"]
"EG10656_RNA"	"mRNA"	[]	["EG10656"]	["EG10656-MONOMER"]
"EG10657_RNA"	"mRNA"	[]	["EG10657"]	["EG10657-MONOMER"]
"EG10658_RNA"	"mRNA"	[]	["EG10658"]	["EG10658-MONOMER"]
"EG10659_RNA"	"mRNA"	[]	["EG10659"]	["EG10659-MONOMER"]
"EG10663_RNA"	"mRNA"	[]	["EG10663"]	["NAD-SYNTH-MONOMER"]
"EG10664_RNA"	"mRNA"	[]	["EG10664"]	["NUPG-MONOMER"]
"EG10668_RNA"	"mRNA"	[]	["EG10668"]	["EG10668-MONOMER"]
"EG10669_RNA"	"mRNA"	[]	["EG10669"]	["EG10669-MONOMER"]
"EG10670_RNA"	"mRNA"	[]	["EG10670"]	["EG10670-MONOMER"]
"EG10671_RNA"	"mRNA"	[]	["EG10671"]	["EG10671-MONOMER"]
"EG10673_RNA"	"mRNA"	[]	["EG10673"]	["EG10673-MONOMER"]
"EG10679_RNA"	"mRNA"	[]	["EG10679"]	["EG10679-MONOMER"]
"EG10680_RNA"	"mRNA"	[]	["EG10680"]	["EG10680-MONOMER"]
"EG10681_RNA"	"mRNA"	[]	["EG10681"]	["PD00214"]
"EG10682_RNA"	"mRNA"	[]	["EG10682"]	["PABASYN-COMPII-MONOMER"]
"EG10686_RNA"	"mRNA"	[]	["EG10686"]	["EG10686-MONOMER"]
"EG10688_RNA"	"mRNA"	[]	["EG10688"]	["PEPCARBOXYKIN-MONOMER"]
"EG10694_RNA"	"mRNA"	[]	["EG10694"]	["EG10694-MONOMER"]
"EG10695_RNA"	"mRNA"	[]	["EG10695"]	["EG10695-MONOMER"]
"EG10696_RNA"	"mRNA"	[]	["EG10696"]	["EG10696-MONOMER"]
"EG10699_RNA"	"mRNA"	[]	["EG10699"]	["6PFK-1-MONOMER"]
"EG10700_RNA"	"mRNA"	[]	["EG10700"]	["6PFK-2-MONOMER"]
"EG10701_RNA"	"mRNA"	[]	["EG10701"]	["PYRUVFORMLY-MONOMER"]
