"Gene"	"M9 Glucose minus AAs"
"EG10652"	8.94586
"EG10653"	8.033625
"EG10654"	7.700895
"EG10655"	5.99771
"EG10656"	8.484065
"EG10657"	11.28885
"EG10658"	10.9805
"EG10659"	11.7793
"EG10660"	9.879435
"EG10661"	9.80963
"EG10662"	9.04433
"EG10663"	10.98145
"EG10664"	7.860155
"EG10665"	11.50555
"EG10666"	10.6853
"EG10667"	10.8466
"EG10668"	8.95919
"EG10669"	13.7118
"EG10670"	13.03505
"EG10671"	13.01865
"EG10672"	9.486825
"EG10673"	13.57205
"EG10674"	10.642275
"EG10675"	9.70557
"EG10676"	9.69607
"EG10677"	9.85345
"EG10678"	9.45917
"EG10679"	10.229155
"EG10680"	10.70185
"EG10681"	9.86361
"EG10682"	8.54591
"EG10683"	9.46064
"EG10684"	12.44835
"EG10685"	8.95422
"EG10686"	9.95093
"EG10687"	9.42733
"EG10688"	10.110655
"EG10689"	10.1039
"EG10690"	10.9996
"EG10691"	10.1537
"EG10693"	10.2032
"EG10694"	10.34015
"EG10695"	11.01085
"EG10696"	10.19925
"EG10697"	10.4642
"EG10698"	9.989935
"EG10699"	10.7074
"EG10700"	10.07094
"EG10701"	11.7751
"EG10702"	10.6612
"EG10703"	11.3259
"EG10704"	9.492
"EG10705"	8.502825
"EG10706"	9.174115
"EG10707"	10.076945
"EG10708"	8.64275
"EG10709"	11.2317
"EG10710"	10.65215
"EG10711"	10.38557
"EG10712"	9.43137
"EG10713"	6.22141
"EG10714"	7.30994
"EG10715"	6.91849
"EG10716"	7.408275
"EG10717"	6.691375
"EG10718"	5.92258
"EG10719"	6.30719
"EG10720"	8.06082
"EG10721"	6.946545
"EG10722"	6.310765
"EG10723"	7.343185
"EG10724"	8.72982
"EG10725"	8.11977
"EG10727"	8.85261
"EG10728"	8.286835
"EG10729"	8.102665
"EG10730"	8.613745
"EG10731"	10.67015
"EG10732"	9.686095
"EG10733"	7.16503
"EG10734"	10.4901
"EG10735"	9.85058
"EG10736"	9.00674
"EG10737"	7.94468
"EG10738"	9.240295
"EG10739"	9.701205
"EG10740"	10.083665
"EG10741"	9.26761
"EG10742"	11.0738
"EG10743"	12.19975
"EG10744"	11.9185
"EG10745"	10.9076
"EG10746"	10.3359
"EG10747"	8.202855
"EG10748"	9.402055
"EG10749"	10.5099
"EG10750"	9.874745
"EG10751"	10.348255
"EG10752"	10.9897
"EG10753"	8.621225
"EG10754"	9.30199
"EG10755"	12.21035
"EG10756"	11.50865
"EG10757"	10.5812
"EG10758"	12.0328
"EG10759"	11.1317
"EG10760"	10.66695
"EG10761"	9.80576
"EG10762"	10.96295
"EG10763"	8.82557
"EG10764"	12.74
"EG10765"	8.81936
"EG10766"	12.47305
"EG10767"	10.17665
"EG10768"	9.883495
"EG10769"	9.565085
"EG10770"	11.10765
"EG10771"	9.10687312127
"EG10772"	7.25589
"EG10773"	9.42407
"EG10774"	11.6345
"EG10775"	10.045845
"EG10776"	9.849315
"EG10777"	9.676015
"EG10778"	9.220475
"EG10779"	8.6371
"EG10780"	9.55215
"EG10781"	10.44935
"EG10782"	9.457815
"EG10783"	11.14555
"EG10784"	9.48374
"EG10785"	10.09899
"EG10786"	9.26271
"EG10787"	11.57725
"EG10788"	12.3917
"EG10789"	11.69495
"EG10790"	10.9529
"EG10791"	11.7518
"EG10792"	10.118315
"EG10793"	11.3652
"EG10794"	11.08715
"EG10795"	11.21575
"EG10796"	10.9002
"EG10797"	11.1011
"EG10798"	11.23165
"EG10799"	11.2016
"EG10800"	10.2554
"EG10801"	8.541285
"EG10802"	9.382395
"EG10803"	10.22845
"EG10804"	10.8694
"EG10805"	13.03635
"EG10806"	11.6278
"EG10807"	10.5668
"EG10808"	8.35693
"EG10809"	10.6549
"EG10810"	11.2235
"EG10811"	13.2542
"EG10812"	9.897805
"EG10813"	6.48262
"EG10814"	9.114075
"EG10815"	10.267405
"EG10816"	8.90018
"EG10817"	10.10499
"EG10818"	9.912995
"EG10819"	8.74371
"EG10820"	9.23233
"EG10821"	11.1563
"EG10822"	9.44429
"EG10823"	10.76245
"EG10824"	9.103725
"EG10825"	7.87701
"EG10826"	8.437625
"EG10827"	7.87834
"EG10828"	9.10438
"EG10829"	8.089555
"EG10830"	9.246615
"EG10831"	8.74658
"EG10832"	9.189735
"EG10833"	9.608485
"EG10834"	10.42055
"EG10835"	10.57725
"EG10836"	9.891695
"EG10837"	8.990115
"EG10838"	10.9229
"EG10839"	8.6144
"EG10840"	9.97236
"EG10841"	9.053895
"EG10842"	7.528915
"EG10843"	4.65481
"EG10844"	10.57605
"EG10845"	11.4496
"EG10846"	9.10687312127
"EG10847"	8.402965
"EG10848"	7.62098
"EG10849"	7.17412
"EG10850"	9.970255
"EG10851"	10.407
"EG10852"	8.8738
"EG10853"	9.250755
"EG10854"	10.2169
"EG10855"	10.8129
"EG10856"	9.550405
"EG10857"	10.9759
"EG10858"	9.414675
"EG10859"	10.8106
"EG10860"	9.906275
"EG10861"	9.05653
"EG10862"	11.7245
"EG10863"	10.26617
"EG10864"	13.12075
"EG10865"	12.6035
"EG10866"	13.2396
"EG10867"	12.909
"EG10868"	13.6366
"EG10869"	12.89345
"EG10870"	11.6749
"EG10871"	13.62785
"EG10872"	13.36555
"EG10873"	13.35025
"EG10874"	13.26285
"EG10875"	13.4445
"EG10876"	12.98265
"EG10877"	12.7687
"EG10878"	12.44585
"EG10879"	12.93295
"EG10880"	12.1678
"EG10881"	11.60665
"EG10882"	12.91705
"EG10883"	13.205
"EG10884"	13.0532
"EG10885"	12.67535
"EG10886"	13.40945
"EG10887"	12.25745
"EG10888"	12.26375
"EG10889"	12.0195
"EG10890"	11.5765
"EG10891"	13.00565
"EG10892"	12.52135
"EG10893"	13.73445
"EG10894"	12.38505
"EG10895"	12.20905
"EG10896"	11.0658
"EG10897"	9.79411
"EG10898"	10.8113
"EG10899"	11.3201
"EG10900"	12.975
"EG10901"	12.92605
"EG10902"	12.7437
"EG10903"	13.7407
"EG10904"	13.1726
"EG10905"	12.62475
"EG10906"	13.58375
"EG10907"	12.94
"EG10908"	12.2767
"EG10909"	13.1195
"EG10910"	13.4651
"EG10911"	13.381
"EG10912"	13.7653
"EG10913"	12.78635
"EG10914"	12.19035
"EG10915"	12.78515
"EG10916"	11.97695
"EG10917"	12.8333
"EG10918"	13.0635
"EG10919"	11.853
"EG10920"	12.5932
"EG10921"	10.351665
"EG10922"	9.780315
"EG10925"	9.777925
"EG10926"	9.362495
"EG10927"	9.23548
"EG10928"	8.791035
"EG10929"	10.58221
"EG10930"	9.013
"EG10931"	10.69166
"EG10932"	10.67774
"EG10933"	10.52234
"EG10934"	10.494635
"EG10935"	8.668365
"EG10936"	10.11112
"EG10937"	11.23005
"EG10938"	10.271
"EG10939"	10.6371
"EG10940"	10.0926
"EG10941"	9.807695
"EG10942"	9.052245
"EG10943"	10.51755
"EG10944"	12.39655
"EG10945"	9.86765
"EG10946"	11.73945
"EG10947"	11.23695
"EG10948"	9.938255
"EG10949"	9.810855
"EG10950"	9.524255
"EG10951"	8.786425
"EG10952"	9.87225
"EG10953"	12.47775
"EG10954"	10.65697
"EG10955"	9.355375
"EG10956"	10.292
"EG10957"	9.309115
"EG10958"	9.46003
"EG10959"	11.2488
"EG10960"	8.55699
"EG10961"	9.536365
"EG10962"	11.32475
"EG10963"	11.84995
"EG10964"	7.143225
"EG10965"	10.7387
"EG10966"	9.941705
"EG10967"	10.21695
"EG10968"	9.605525
"EG10969"	7.341055
"EG10970"	6.919555
"EG10971"	7.709405
"EG10972"	7.15989
"EG10973"	8.5772
"EG10974"	9.058095
"EG10975"	10.063955
"EG10976"	10.2873
"EG10977"	10.82195
"EG10978"	10.37665
"EG10979"	10.91615
"EG10980"	11.27505
"EG10981"	11.1858
"EG10982"	11.13555
