gene	protein_synthesis_rate__molecules_per_generation__MOPS_complete	protein_synthesis_rate__molecules_per_generation__MOPS_minimal	mrna_level__RPKM	translation_efficiency
yghS	[6]	[2]	[1]	NA
yghT	[3]	[0]	[0]	NA
yghU	319	1043	14	1.77
yghW	61	33	[3]	NA
ygiB	3023	1348	138	1.69
ygiC	1056	359	120	0.67
ygiD	31	22	[5]	NA
ygiF	1003	370	62	1.25
ygiL	140	21	[4]	NA
ygiM	662	488	30	1.69
ygiN	4429	2417	239	1.43
ygiQ	1176	225	69	1.3
ygiS	108	58	7	1.27
ygiV	33	23	[7]	NA
ygiW	2395	2776	47	3.93
ygiZ	[0]	[0]	[0]	NA
ygjH	101	14	[2]	NA
ygjI	[0]	[0]	[0]	NA
ygjJ	[0]	[0]	[0]	NA
ygjK	[2]	[1]	[1]	NA
ygjP	258	65	[14]	NA
ygjQ	[6]	[1]	[3]	NA
ygjR	208	189	13	1.22
ygjV	40	15	[5]	NA
yhaB	[0]	[0]	[0]	NA
yhaC	[2]	[1]	[0]	NA
yhaH	1327	846	57	1.8
yhaI	[34]	[10]	[4]	NA
yhaJ	534	216	48	0.85
yhaK	46	30	[5]	NA
yhaL	921	318	[41]	NA
yhaM	2100	25	93	1.74
yhaO	24	[1]	46	0.04
yhaV	246	90	25	0.76
yhbE	201	23	285	0.05
yhbJ	1332	587	121	0.84
yhbO	[4]	283	[0]	NA
yhbP	90	48	[9]	NA
yhbQ	64	20	[18]	NA
yhbS	1192	402	86	1.07
yhbT	1113	313	112	0.76
yhbU	[12]	[3]	[1]	NA
yhbV	19	[4]	[2]	NA
yhbW	384	411	14	2.11
yhbX	9	[1]	[3]	NA
yhbY	17221	2765	531	2.49
yhcA	[7]	14	[1]	NA
yhcB	3651	1546	209	1.35
yhcC	[4]	[1]	[2]	NA
yhcD	[2]	3	[2]	NA
yhcF	77	39	13	0.47
yhcG	[6]	5	[5]	NA
yhcH	128	136	[7]	NA
yhcM	255	214	23	0.86
yhcN	1846	314	46	3.11
yhcO	[31]	184	[5]	NA
yhdE	699	184	101	0.53
yhdH	756	602	26	2.23
yhdJ	[6]	[2]	[5]	NA
yhdL	948	766	[18]	NA
yhdN	93	53	28	0.25
yhdP	65	37	22	0.23
yhdT	799	56	73	0.84
yhdU	247	134	[16]	NA
yhdV	176	77	[4]	NA
yhdX	[0]	[1]	[1]	NA
yhdY	[0]	[1]	[1]	NA
yhdZ	29	21	[6]	NA
yheL	351	138	110	0.25
yheM	302	132	78	0.3
yheN	365	137	86	0.33
yheO	676	476	109	0.48
yheS	855	235	72	0.92
yheT	253	73	50	0.39
yheU	524	395	44	0.92
yheV	658	758	[21]	NA
yhfA	1623	1283	53	2.36
yhfG	[73]	459	[20]	NA
yhfK	92	41	32	0.22
yhfL	128	[14]	[15]	NA
yhfS	[4]	[2]	[5]	NA
yhfT	[1]	[1]	[2]	NA
yhfU	[12]	[8]	[1]	NA
yhfW	[0]	[0]	[1]	NA
yhfX	[0]	[0]	[1]	NA
yhfY	53	18	[6]	NA
yhfZ	142	35	13	0.83
yhgA	63	20	[5]	NA
yhgE	41	15	10	0.33
yhgF	3198	825	122	2.01
yhgN	669	72	46	1.13
yhhA	96	316	[9]	NA
yhhH	[17]	[2]	[3]	NA
yhhJ	155	97	27	0.45
yhhK	1131	130	42	2.08
yhhL	678	127	42	1.24
yhhM	362	172	45	0.62
yhhN	328	195	32	0.8
yhhQ	373	116	33	0.86
yhhS	109	26	23	0.37
yhhT	14	26	[5]	NA
yhhW	371	251	13	2.27
yhhX	1001	634	33	2.34
yhhY	167	113	[5]	NA
yhhZ	[0]	[0]	[0]	NA
yhiD	[1]	30	[1]	NA
yhiI	413	265	60	0.53
yhiJ	[4]	7	[1]	NA
yhiM	16	27	[2]	NA
yhiN	451	92	65	0.54
yhiQ	532	75	80	0.51
yhiR	1230	247	71	1.34
yhjA	9	4	[3]	NA
yhjB	59	44	[4]	NA
yhjC	64	29	18	0.27
yhjD	176	155	12	1.13
yhjE	149	2380	10	1.16
yhjG	[3]	62	[2]	NA
yhjH	[1]	[2]	[1]	NA
yhjJ	702	152	55	0.98
yhjK	181	55	29	0.48
yhjR	439	243	106	0.32
yhjV	402	26	29	1.07
yhjX	[3]	[1]	[1]	NA
yhjY	25	137	[4]	NA
yiaA	[2]	[1]	[1]	NA
yiaB	[0]	[2]	[0]	NA
yiaC	41	18	[12]	NA
yiaD	4423	215	89	3.83
yiaF	5946	1151	343	1.34
yiaG	92	2581	[4]	NA
yiaJ	248	206	24	0.79
yiaK	[8]	[2]	[1]	NA
yiaL	[2]	[1]	[0]	NA
yiaM	[0]	[0]	[0]	NA
yiaN	[0]	[0]	[0]	NA
yiaO	[1]	[1]	[0]	NA
yiaQ	33	19	[1]	NA
yiaR	26	10	[1]	NA
yiaS	24	14	[3]	NA
yiaT	32	7	[4]	NA
yiaU	31	21	[6]	NA
yiaV	[11]	[1]	[2]	NA
yiaW	[15]	[2]	[2]	NA
yiaY	[0]	[0]	[1]	NA
yibA	57	73	[9]	NA
yibB	654	160	64	0.78
yibD	[7]	31	[3]	NA
yibF	326	386	19	1.35
yibG	[8]	[5]	[2]	NA
yibH	[9]	13	[5]	NA
yibI	[6]	17	[2]	NA
yibL	4692	1131	89	4.07
yibN	8459	1241	547	1.19
yibQ	292	101	45	0.5
yibT	1536	983	72	1.63
yicC	3069	884	141	1.68
yicG	93	7	[9]	NA
yicH	187	125	30	0.49
yicI	17	8	[3]	NA
yicJ	[0]	[1]	[1]	NA
yicL	180	99	17	0.8
yicN	106	36	[15]	NA
yicO	[0]	[0]	[1]	NA
yicR	20	[4]	100	0.01
yicS	[13]	86	[2]	NA
yidA	1745	602	68	1.97
yidB	916	315	41	1.71
yidC	8807	1094	882	0.77
yidD	469	151	628	0.06
yidE	94	45	23	0.31
yidF	[9]	11	[6]	NA
yidG	[15]	19	[8]	NA
yidH	57	60	[8]	NA
yidI	39	22	[7]	NA
yidJ	[6]	5	[1]	NA
yidK	[0]	[0]	[1]	NA
yidL	[10]	16	[2]	NA
yidP	[4]	[2]	[2]	NA
yidQ	432	440	47	0.71
yidR	221	144	13	1.31
yidX	[12]	9	14	0.07
yidZ	84	25	18	0.35
yieE	93	36	18	0.41
yieF	702	780	35	1.53
yieH	178	80	19	0.71
yieK	84	17	[6]	NA
yieL	16	7	[3]	NA
yieP	1032	370	51	1.55
yifB	[2]	[2]	[2]	NA
yifE	43279	7863	2278	1.46
yifK	2254	173	206	0.84
yifL	6820	2282	228	2.3
yigA	529	278	129	0.32
yigB	712	281	61	0.9
yigE	26	[4]	[3]	NA
yigF	116	16	[13]	NA
yigG	[2]	[0]	[4]	NA
yigI	1631	541	71	1.77
yigL	789	295	48	1.26
yigM	355	39	61	0.44
yigP	932	278	163	0.44
yigZ	207	77	73	0.22
yihA	3813	892	171	1.71
yihD	5102	1585	118	3.32
yihF	[10]	[2]	[2]	NA
yihG	234	32	21	0.84
yihI	7289	1430	189	2.97
yihL	104	25	[11]	NA
yihM	106	37	[7]	NA
yihN	22	4	[4]	NA
yihO	[0]	[0]	[2]	NA
yihP	[5]	[2]	[1]	NA
yihQ	10	7	[1]	NA
yihR	[4]	[3]	[1]	NA
yihS	15	21	[2]	NA
yihT	[13]	15	[1]	NA
yihU	[1]	[5]	[1]	NA
yihV	[10]	9	[1]	NA
yihW	522	116	58	0.7
yihX	441	354	55	0.61
yihY	84	51	29	0.22
yiiD	484	362	48	0.77
yiiE	[11]	[1]	[3]	NA
yiiF	41	56	[6]	NA
yiiG	28	8	[2]	NA
yiiM	722	360	33	1.7
yiiQ	200	182	20	0.78
yiiR	319	92	29	0.86
yiiS	750	879	47	1.22
yiiX	25	[5]	27	0.07
yijD	1941	949	125	1.2
yijE	38	19	11	0.27
yijF	[1]	[0]	[2]	NA
yijO	56	42	[7]	NA
yijP	1678	484	109	1.19
yjaA	72	[3]	[17]	NA
yjaB	152	34	[12]	NA
yjaG	1825	419	103	1.37
yjaH	82	40	151	0.04
yjaZ	22	8	[12]	NA
yjbB	192	60	18	0.81
yjbD	471	515	[17]	NA
yjbE	[43]	80	[6]	NA
yjbF	[1]	[3]	[0]	NA
yjbG	[2]	[1]	[0]	NA
yjbH	[1]	[1]	[2]	NA
yjbJ	238	430	56	0.32
yjbL	[0]	[0]	[0]	NA
yjbM	[2]	[1]	[1]	NA
yjbQ	164	122	33	0.39
yjbR	532	541	33	1.23
yjbS	[1]	[2]	[1]	NA
yjbT	[1]	[7]	[1]	NA
yjcB	299	166	30	0.76
yjcC	13	21	[2]	NA
yjcD	2302	818	158	1.12
yjcE	308	77	34	0.7
yjcF	[0]	[0]	[0]	NA
yjcH	[9]	97	[2]	NA
yjcO	131	129	14	0.73
yjcS	[2]	[1]	[1]	NA
yjcZ	[4]	[4]	[1]	NA
yjdA	27	20	[4]	NA
yjdC	457	596	41	0.86
yjdF	104	49	[11]	NA
yjdI	[43]	254	[4]	NA
yjdJ	120	375	[8]	NA
yjdK	[14]	32	[1]	NA
yjdL	[3]	[1]	[3]	NA
yjdM	5011	1188	75	5.11
yjdN	[0]	185	[2]	NA
yjdO	[0]	[1]	[1]	NA
yjdP	[23]	31	[10]	NA
yjeA	1139	106	56	1.57
yjeE	900	248	60	1.16
yjeF	96	173	28	0.27
yjeH	41	77	9	0.33
yjeI	3172	3049	141	1.73
yjeJ	45	19	[7]	NA
yjeK	777	163	64	0.94
yjeM	93	4	12	0.6
yjeN	[2]	[2]	[5]	NA
yjeO	[14]	[3]	[8]	NA
yjeP	146	51	30	0.38
yjeS	108	25	25	0.33
yjeT	518	56	[27]	NA
yjeV	[44]	[14]	[10]	NA
yjfC	[0]	[0]	[1]	NA
yjfF	[3]	7	[2]	NA
yjfI	[3]	[1]	[1]	NA
yjfJ	[11]	[3]	[1]	NA
yjfK	[0]	[0]	[2]	NA
yjfL	[0]	[0]	[0]	NA
yjfM	[1]	[0]	[1]	NA
yjfN	[26]	44	[7]	NA
yjfP	174	134	[5]	NA
yjfY	[0]	[12]	[1]	NA
yjfZ	71	13	[5]	NA
yjgA	3950	600	234	1.3
yjgB	101	317	[4]	NA
yjgF	18166	12479	421	3.32
yjgH	80	186	[4]	NA
yjgI	67	17	[6]	NA
yjgJ	544	202	17	2.41
yjgL	7	21	[2]	NA
yjgM	1096	319	34	2.51
yjgN	11	[1]	[2]	NA
yjgR	78	186	9	0.7
yjgZ	[0]	[0]	[1]	NA
yjhB	17	17	[2]	NA
yjhC	161	121	8	1.53
yjhF	[6]	[1]	[2]	NA
yjhG	25	16	4	0.43
yjhH	33	21	[2]	NA
yjhI	[2]	[4]	[0]	NA
yjhP	58	23	[3]	NA
yjhQ	63	25	[4]	NA
yjhU	694	286	77	0.7
yjhX	[15]	[2]	[3]	NA
yjiA	787	320	58	1.04
yjiC	[6]	[1]	[1]	NA
yjiG	[7]	[3]	20	0.03
yjiH	[5]	[2]	[1]	NA
yjiJ	[1]	7	[2]	NA
yjiK	40	15	[5]	NA
yjiL	[0]	[2]	[1]	NA
yjiM	[8]	5	[2]	NA
yjiN	28	34	[5]	NA
yjiR	41	40	13	0.24
yjiS	[14]	[6]	[0]	NA
yjiX	567	[8]	85	0.51
yjiY	7006	9	571	0.94
yjjA	1607	352	74	1.67
yjjB	[17]	10	[3]	NA
yjjG	763	369	84	0.7
yjjI	40	18	[2]	NA
yjjJ	157	51	34	0.35
yjjK	9191	2080	357	1.98
yjjL	[1]	[2]	[3]	NA
yjjM	[15]	15	[1]	NA
yjjN	[3]	[2]	[1]	NA
yjjP	33	28	[4]	NA
yjjQ	[0]	[0]	[0]	NA
yjjU	143	142	19	0.59
yjjV	67	58	21	0.25
yjjW	[4]	[2]	[2]	NA
yjjX	955	275	39	1.89
yjjY	[0]	[0]	[7]	NA
yjjZ	[25]	21	[1]	NA
yjtD	630	204	25	1.95
ykfA	26	15	[6]	NA
ykfB	114	64	[11]	NA
ykfF	[4]	[1]	[0]	NA
ykfG	[4]	[2]	[0]	NA
ykfH	[0]	[1]	[3]	NA
ykfI	[1]	[1]	[0]	NA
ykfM	[0]	[1]	[0]	NA
ykgB	25	11	[2]	NA
ykgC	[8]	101	[2]	NA
ykgD	15	19	[2]	NA
ykgE	27	13	[4]	NA
ykgF	37	34	[4]	NA
ykgG	45	36	[5]	NA
ykgH	[11]	[3]	[1]	NA
ykgI	[61]	36	[1]	NA
ykgJ	318	76	[17]	NA
ykgL	[6]	[1]	[5]	NA
ykgM	487	2318	[25]	NA
ykgO	493	2593	[23]	NA
ykgR	[5]	[21]	[2]	NA
ylaB	23	19	7	0.26
ylaC	957	361	49	1.5
ylbA	266	188	12	1.76
ylbF	[0]	[0]	[1]	NA
ylcG	[0]	[2]	[0]	NA
ylcH	[2]	[0]	[17]	NA
ylcI	[2]	[5]	[0]	NA
yliE	141	66	30	0.36
yliF	316	72	33	0.75
yliI	[1]	60	[1]	NA
yliJ	1359	2126	50	2.09
yliL	[0]	[0]	[1]	NA
ymbA	612	175	51	0.92
ymcE	15	2	76	0.01
ymdA	[26]	20	[2]	NA
ymdB	141	266	[8]	NA
ymdC	25	33	[5]	NA
ymdF	149	278	[10]	NA
ymfA	[21]	[2]	[9]	NA
ymfD	42	12	[5]	NA
ymfE	34	26	[2]	NA
ymfI	416	745	[18]	NA
ymfJ	64	68	[3]	NA
ymfL	[10]	13	[1]	NA
ymfM	[2]	15	[1]	NA
ymfQ	[0]	[0]	[0]	NA
ymfR	[4]	[3]	[1]	NA
ymgA	48	43	[5]	NA
ymgC	[26]	26	[2]	NA
ymgD	934	329	29	2.49
ymgE	[8]	217	[1]	NA
ymgF	379	[13]	[18]	NA
ymgG	724	124	34	1.65
ymgI	[0]	[0]	[18]	NA
ymgJ	[1]	[2]	[1]	NA
ymiA	1077	463	89	0.93
ymiB	[12]	[7]	[1]	NA
ymjA	435	271	[20]	NA
ynaE+ydfK	[38]	[36]	[1]	NA
ynaI	214	83	23	0.71
ynaJ	7207	5636	345	1.61
ynaK	[10]	[6]	[3]	NA
ynbA	[0]	[0]	[0]	NA
ynbB	[0]	[0]	[0]	NA
ynbC	[2]	3	[2]	NA
ynbD	[4]	4	[3]	NA
ynbE	270	155	[26]	NA
ynbG	[0]	[0]	[0]	NA
yncA	272	345	[13]	NA
yncB	77	462	[4]	NA
yncD	353	69	21	1.32
yncE	2047	1004	61	2.57
yncG	[1]	57	[1]	NA
yncH	[0]	[1]	[0]	NA
yncJ	55	57	[2]	NA
yncL	137	1093	[55]	NA
yneE	106	65	11	0.74
yneF	[5]	[1]	13	0.03
yneG	263	43	31	0.65
yneH	442	72	45	0.75
yneJ	107	55	10	0.83
yneK	[0]	4	[1]	NA
yneM	310	272	[61]	NA
ynfA	241	104	[10]	NA
ynfB	2432	1337	84	2.23
ynfC	146	164	14	0.79
ynfD	699	692	[13]	NA
ynfE	[1]	2	[0]	NA
ynfF	34	29	[3]	NA
ynfG	22	32	[2]	NA
ynfH	20	15	15	0.11
ynfK	42	30	[10]	NA
ynfL	60	24	[6]	NA
ynfM	38	22	[5]	NA
ynfN	[0]	[0]	[0]	NA
ynfO	[7]	[10]	[0]	NA
ynhF	5442	5218	191	2.19
ynhG	101	561	[6]	NA
yniA	[10]	185	[7]	NA
yniB	466	149	40	0.91
yniC	1568	525	47	2.58
yniD	[86]	91	[3]	NA
ynjA	35	37	[9]	NA
ynjB	92	76	8	0.95
ynjC	[5]	4	[4]	NA
ynjD	[17]	19	[6]	NA
ynjE	215	97	9	1.94
ynjF	161	42	13	0.94
ynjH	[16]	45	[2]	NA
ynjI	[11]	7	[3]	NA
yoaA	53	31	21	0.2
yoaB	6542	3408	123	4.08
yoaC	425	486	[16]	NA
yoaE	397	117	47	0.65
yoaF	911	261	[24]	NA
yoaG	[18]	36	[2]	NA
yoaH	1416	589	[34]	NA
yoaI	[0]	[24]	[1]	NA
yoaJ	3122	1031	161	1.49
yoaK	277	131	107	0.2
yobA	3045	1425	77	3.05
yobB	49	60	[11]	NA
yobD	146	82	20	0.57
yobF	588	805	2558	0.02
yobH	574	264	[29]	NA
yobI	[0]	[2]	[0]	NA
yodB	[19]	75	[1]	NA
yodC	[28]	268	[22]	NA
yodD	[18]	424	[2]	NA
yoeB	175	74	34	0.4
yoeI	16072	2495	859	1.44
yohC	[2]	49	[2]	NA
yohD	53	60	[13]	NA
yohF	[2]	100	[1]	NA
yohJ	56	25	[8]	NA
yohK	56	24	[9]	NA
yohN	1270	504	53	1.83
yohO	1508	546	84	1.38
yohP	170	992	[4]	NA
yojI	332	84	38	0.67
yojO	[0]	[0]	[0]	NA
ypaA	188	96	[16]	NA
ypdA	59	13	9	0.53
ypdB	148	103	21	0.55
ypdC	[12]	14	[9]	NA
ypdE	[3]	[3]	[1]	NA
ypdF	[0]	[1]	[1]	NA
ypdI	[4]	[3]	[1]	NA
ypdK	2017	570	189	0.82
ypeA	530	233	60	0.68
ypeB	349	54	77	0.35
ypeC	78	157	[6]	NA
ypfG	[7]	18	[3]	NA
ypfH	367	207	24	1.15
ypfJ	672	306	58	0.9
ypfM	4679	1043	207	1.74
ypfN	1164	229	91	0.99
yphA	50	471	[7]	NA
yphB	15	12	[4]	NA
yphC	62	39	[4]	NA
yphD	[2]	[2]	[1]	NA
yphE	[0]	[0]	[1]	NA
yphF	[2]	4	[1]	NA
yphG	[1]	2	[1]	NA
yphH	23	25	[5]	NA
ypjA	2	4	2	0.1
ypjD	494	161	47	0.81
ypjF	[21]	[10]	[1]	NA
ypjJ	[1]	[1]	[0]	NA
ypjK	[23]	[2]	[0]	NA
yqaA	36	18	120	0.02
yqaB	569	217	77	0.57
yqaE	2604	1439	80	2.52
yqcA	1078	477	70	1.18
yqcC	1419	192	64	1.7
yqcE	[0]	[0]	[0]	NA
yqcG	[0]	[0]	[0]	NA
yqeA	20	11	[4]	NA
yqeB	7	9	[2]	NA
yqeC	[0]	[0]	[1]	NA
yqeF	226	116	29	0.61
yqeG	865	8	61	1.1
yqeH	[14]	[5]	[3]	NA
yqeI	31	10	[2]	NA
yqeJ	[7]	[5]	[1]	NA
yqeK	[0]	[1]	[1]	NA
yqeL	[0]	[15]	[1]	NA
yqfA	53	40	26	0.16
yqfB	2046	806	73	2.17
yqfG	[0]	[6]	[1]	NA
yqgA	60	17	[5]	NA
yqgB	2591	555	434	0.46
yqgC	[0]	[0]	[0]	NA
yqgE	1393	442	82	1.31
yqgF	517	130	63	0.63
yqhA	2503	585	173	1.11
yqhC	217	70	12	1.35
yqhD	783	309	25	2.4
yqhG	[1]	[4]	[2]	NA
yqhH	[13]	[8]	[3]	NA
yqiA	346	106	118	0.23
yqiB	300	129	102	0.23
yqiC	7002	2423	119	4.52
yqiH	[4]	[4]	[1]	NA
yqiI	[10]	[4]	[2]	NA
yqiJ	[3]	[2]	[1]	NA
yqiK	[7]	[2]	[2]	NA
yqjA	736	209	97	0.59
yqjC	2020	557	73	2.13
yqjD	5239	10886	129	3.12
yqjE	443	691	143	0.24
yqjF	84	20	[7]	NA
yqjG	147	195	[7]	NA
yqjH	456	307	12	2.83
yqjI	1053	358	31	2.61
yqjK	214	331	120	0.14
yraH	49	13	[4]	NA
yraI	[1]	[1]	[0]	NA
yraJ	[0]	[1]	[2]	NA
yraK	[6]	6	[3]	NA
yraM	513	250	62	0.64
yraN	31	20	51	0.05
yraP	1303	692	79	1.28
yraQ	647	176	38	1.32
yraR	231	129	[10]	NA
yrbA	5904	1705	225	2.02
yrbG	73	24	51	0.11
yrbL	589	208	74	0.61
yrbN	708	[18]	370	0.15
yrdA	1051	804	46	1.76
yrdB	814	157	97	0.64
yrdD	347	169	121	0.22
yrfF	220	78	37	0.46
yrfG	876	176	114	0.59
yrhB	32	15	[7]	NA
yrhD	[0]	[0]	[1]	NA
ysaA	[11]	15	[10]	NA
ysaB	[13]	41	[3]	NA
ysgA	224	1063	[7]	NA
yshB	11228	7384	493	1.75
ytcA	[0]	[0]	[0]	NA
ytfB	540	276	63	0.66
ytfE	70	11	[3]	NA
ytfF	33	19	10	0.26
ytfH	183	46	[14]	NA
ytfI	[2]	[2]	[1]	NA
ytfJ	339	59	15	1.72
ytfK	1900	1224	191	0.76
ytfL	364	64	32	0.88
ytfM	195	115	33	0.45
ytfN	127	54	41	0.24
ytfP	2214	764	223	0.76
ytfQ	38	50	[4]	NA
ytfR	[1]	4	[2]	NA
ytfT	[2]	4	[2]	NA
ythA	[4]	[1]	[1]	NA
ytjA	590	4707	[21]	NA
ytjB	119	43	31	0.29
ytjC	2056	443	81	1.96
zapA	2275	738	283	0.62
zapB	34197	7797	711	3.7
zinT	360	20357	[11]	NA
zipA	2128	501	270	0.61
zitB	84	85	[6]	NA
zntA	342	16	24	1.09
zntR	382	296	21	1.37
znuA	3453	25238	103	2.59
znuB	252	301	30	0.64
znuC	332	468	36	0.71
zraP	[18]	[10]	[0]	NA
zraR	98	30	19	0.39
zraS	8	4	6	0.11
zupT	407	217	41	0.77
zur	333	167	43	0.59
zwf	5185	1928	185	2.16
