gene	ribosome initiation rate (ribosome/s)	mrna_RPKM
glnA	0.3561167786	1070.82
typA	0.0833435364	1841.33
yiiF	0.1407553366	56.66
fdhD	0.0696832462	70.06
sodA	1.0071607334	1042.35
yiiM	0.1967719899	89.88
cpxP	0.1062853094	1242.57
fieF	0.0321678608	252.42
pfkA	0.2205901986	2250.32
sbp	0.1924065845	100.01
tpiA	0.609561302	1148.93
yiiR	0.1467771837	79.14
glpX	0.0671997755	153.13
zapB	0.5306663551	6739.09
rraA	0.0600341098	1940.40
menA	0.0629128249	157.48
ftsN	0.219106952	334.52
rpmE	1.8451618682	12152.43
metJ	0.1071073532	546.77
metF	0.4011986199	347.09
katG	0.1374191394	387.68
eptC	0.1433365531	205.99
ppc	0.1930069143	406.97
argH	0.0700780163	170.04
oxyS	0.0098259764	207.01
btuB	0.2462178225	135.55
tufB	0.5494393684	4453.86
rplJ	0.0693519849	45809.08
rplL	0.109052652	48967.89
rpoB	0.1315415189	1578.50
rpoC	0.0743374024	2149.98
rsd	0.2183795387	680.70
metA	0.4882648009	120.05
iclR	0.1416105893	127.80
metH	0.1442846623	140.88
rluF	0.0511044777	75.71
yjbD	0.4404799123	105.80
lysC	0.3285334207	301.51
pgi	0.2303829823	533.77
malE	0.2232967437	134.12
lamB	0.3048405226	90.90
malM	0.0929905439	56.99
plsB	0.1056775416	108.79
dgkA	0.1092943157	296.25
dusA	0.0207167021	351.50
pspG	0.064723148	112.61
qorA	0.2474847445	83.64
dnaB	0.0841114283	141.86
tyrB	0.1386938596	169.38
ssb	0.2226175219	2471.52
yjcB	0.1347492276	543.64
yjcD	0.1064495487	473.71
gltP	0.2213975497	70.87
yjcO	0.2245580434	195.68
fdhF	0.0079243666	62.22
yjdP	0.0237261274	132.29
yjdM	2.1671482907	234.77
dcuA	0.2534003007	260.82
aspA	0.6403926001	242.76
yjeI	0.2491762227	1687.53
ecnB	0.1504271689	165.86
rsgA	0.0652818089	238.13
orn	0.4255677843	376.03
hfq	0.6160300529	5313.43
hflX	0.0193212356	217.88
purA	0.2214025239	1325.15
rlmB	0.0672718623	161.01
yjfN	1.3465722452	499.19
bsmA	0.0495354455	216.28
fklB	0.2629610123	528.89
cpdB	0.447611278	77.74
cysQ	0.1389755689	262.89
ytfJ	0.3947891342	64.48
ytfK	0.7042978437	614.21
ytfL	0.1213043042	74.58
msrA	0.8748074774	131.67
ppa	0.4621929532	4612.04
mpl	0.1216637508	686.95
yjgA	0.1755054383	334.48
pmbA	0.2336179059	166.37
nrdD	0.1868843151	72.80
treR	0.4559754422	64.86
mgtA	0.2266223467	820.42
ridA	0.2014059063	880.76
tabA	1.8190495859	90.96
rraB	0.363087226	2058.17
yjgM	0.0481045976	151.13
pepA	0.0729323601	826.14
leuX	0.1149179828	2647.56
intB	0.1063528503	71.18
yjhU	0.2012097394	234.27
yjhY	0.4834514942	150.80
fimB	0.7073420135	109.19
fimE	0.4014479251	128.58
fimA	0.3425107375	44328.89
uxuR	0.0754721441	244.22
rsmC	0.1719823575	187.59
prfC	0.2106741736	480.02
osmY	0.2063849372	124.16
deoC	0.217852392	73.86
deoD	0.6169526798	415.28
yjjK	0.1198344045	978.03
slt	0.3468465593	65.74
trpR	0.2232662405	85.72
creD	0.1993174751	205.29
arcA	0.2298798547	1618.92
yjtD	0.2905395756	65.57
yagJ	NA	48.64
ecpA	NA	53.73
yaiY	NA	43.32
rhlE	NA	46.99
focA	NA	53.55
ycaO	NA	52.90
mfd	NA	54.18
oppA	NA	173.98
ydcP	NA	54.44
ynfA	NA	46.76
rnt	NA	54.49
leuE	NA	48.37
yohD	NA	41.30
ubiX	NA	51.65
xapR	NA	48.26
iap	NA	52.72
argO	NA	46.79
aer	NA	44.19
yrfF	NA	82.02
yhhN	NA	48.70
zntA	NA	21.16
yhhQ	NA	50.46
yhiN	NA	51.42
yicN	NA	49.65
tisB	NA	131.27
yjbE	NA	46.29
proP	NA	199.66
ytfH	NA	49.37
argI	NA	41.55
yjiR	NA	53.38
